	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
ADAM33	0.1411476267297041	-0.8901140701226762	5	5	0.17830358963729687	4.768967517579136	5	5	0.004001538950798559	-10.516853271598322	4	4	0.08739582708325848	-19.099758729270334	1	1
ADAMTS5	0.8985024041132937	-2.5403051939862027	5	5	0.1868253721323272	13.527359061723587	5	5	0.9490563010421037	-3.2909027091956595	5	5	0.17032705523113956	-11.532861668109852	4	4
ADC	0.3426852488164457	-4.471117039962928	5	5	0.6409853403204562	5.988182998213877	3	3	0.20208006128722666	-3.9029122074650555	4	4	0.28372586387635934	-10.468701622253528	3	3
ADCK1	0.13293154695133905	0.660248888544244	5	5	0.7520470321080464	9.52457980851325	5	5	0.1670753959614546	-9.44579551783705	5	5	0.14082638540874928	-17.39911585197053	4	4
ADCK2	0.8739336054079389	-2.4793180722792747	5	5	0.7324192840612771	7.981245593885224	5	5	0.7798403686065293	-3.117876481279188	5	5	0.8753424576431064	-3.1598471656592495	3	3
ADCK3	0.9429565692353546	-5.215724506662027	5	5	0.6817045355351095	5.693285765668658	3	3	0.09667540773651473	7.073268695400831	5	5	0.468798316582951	-3.3601364299040952	5	5
ADCK4	0.883747905809653	-5.143640721083032	5	5	0.048605657093980764	-1.8679582999701516	3	3	0.23334993751765898	-6.260605765346486	3	3	0.11582216212918461	4.737430305086922	1	1
ADCK5	0.5842584751020923	-1.6272764006354317	4	4	0.6448308255888252	8.361498565072624	4	4	0.7506419973275583	-3.071652163082582	4	4	0.46486056438592327	-7.149265353409222	2	2
ADH1B	0.04545592534903437	-8.441470063318409	5	5	0.12931924184002297	18.68517680406361	1	1	0.2267229674346557	9.148329931468554	1	1	0.5794599973297945	-6.914267323118105	2	2
ADH1C	0.2334434276299172	-4.187714244251825	5	5	0.20218135217501365	1.4154687521216751	3	3	0.7245754007703167	-0.6077531789909508	3	3	0.5476011867063071	-0.4519624567328619	3	3
ADH4	0.6084248753122936	-3.86040884654652	4	4	0.36570304873678816	9.14890368776399	3	3	0.8683048928179603	-2.2028065208804826	3	3	0.4328167340199195	-10.113564228349887	3	3
ADH5	0.2535543906132779	-8.492144153696083	5	5	0.6817045355351095	5.01630041424111	3	3	0.7168187077101034	0.4314707618785145	3	3	0.5740209553051443	-3.0135701779828303	3	3
ADK	0.1860828733650114	-9.646619321514732	10	10	0.4708901600496922	15.803508709777189	6	6	0.7737191243294712	-3.051358749723141	5	5	0.26839048614500616	-14.548243233625259	5	5
ADORA1	0.8106779486944853	-4.900921067501262	5	5	0.9729049712708331	8.229416282327302	4	4	0.6706792786329957	0.9461910991810791	4	4	0.5841500112145079	-7.721345934776992	4	4
ADORA2A	0.46852768235463194	-5.719917746617704	5	5	0.13889768053346235	12.83309570350224	4	4	0.1822879540524981	3.8967245989585	5	5	0.5527564179571829	-10.825387072305462	5	5
ADORA2B	0.3104917659407276	-1.380916024682465	4	4	0.7402807379176981	2.0117080342425875	3	3	0.6193080669832095	0.26244513630597893	4	4	0.5091350505836715	-3.3886988945019048	4	4
ADORA3	0.09914598228566884	-9.762996652159936	10	10	0.9344627775767147	5.726287122508075	5	5	0.7628074020820441	-3.0203314142612605	6	6	0.7322796897721313	-4.334691641198611	5	5
ADRA1A	0.5861419721859356	-1.7483807648609282	5	5	0.28357313610865664	1.143209049466721	4	4	0.4766647055457599	-6.008535854655281	4	4	0.30017237238335026	-0.4796275454183916	2	2
ADRA1B	0.12509068401456092	-1.1473824426658437	5	5	0.6378839758062542	5.269185762040511	4	4	0.866806519063293	-0.36853438057294047	5	5	0.8879785763849	-7.300431666337449	5	5
ADRA1D	0.854364555621399	-3.1224659924521863	5	5	0.7123034447012369	5.7278938087953435	4	4	0.8614235537053763	-1.9088879899452234	4	4	0.8139648565977974	-3.658095630738719	3	3
