	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
ACAN_-_89347101.23-P1P2	1369	4	3127	3442
ACAT1_+_107992288.23-P1P2	1	2	431	0
ACAT1_+_107992310.23-P1P2	1613	10	1006	5589
ACAT1_+_107992321.23-P1P2	2439	3	1225	3
ACAT1_-_107992364.23-P1P2	1197	0	1905	3345
ACAT1_-_107992733.23-P1P2	3115	4741	1561	4171
ACAT2_+_160183436.23-P1P2	0	0	129	0
ACAT2_+_160183505.23-P1P2	2825	1	809	1
ACAT2_-_160183054.23-P1P2	3	4359	428	1
ACAT2_-_160183095.23-P1P2	1312	1	1472	0
ACAT2_-_160183174.23-P1P2	887	0	1336	855
ACCS_+_44087946.23-P1P2	633	1	525	3802
ACCS_+_44088028.23-P1P2	628	2	960	0
ACCS_+_44088091.23-P1P2	4435	5468	1681	3479
ACCS_+_44088215.23-P1P2	0	0	451	0
ACCS_-_44088090.23-P1P2	1040	4356	1447	3
ACE2_+_15619016.23-P1P2	0	0	316	0
ACE2_+_15619087.23-P1P2	988	1	221	1
ACE2_-_15618594.23-P1P2	7	5755	938	1221
ACE2_-_15618975.23-P1P2	1	0	414	0
ACE2_-_15619013.23-P1P2	3075	1	707	2
ACE_+_61554448.23-P1	3218	4	866	1618
ACE_+_61554829.23-P1	5302	2138	2830	1358
ACE_+_61562272.23-P2	1442	0	1654	1279
ACE_+_61562293.23-P2	8	5658	589	1456
ACE_-_61554428.23-P1	1894	4	1306	2204
ACE_-_61554458.23-P1	5464	3	1586	5209
ACE_-_61554461.23-P1	2725	4189	1420	4610
ACE_-_61562238.23-P2	6059	2	1372	0
ACE_-_61562443.23-P2	4305	3	938	2
ACE_-_61562661.23-P2	1	1	776	1527
ACHE_+_100493456.23-P1	2045	7028	2050	10171
ACHE_+_100493473.23-P1	983	0	1842	0
ACHE_+_100494559.23-P2	1625	2236	823	3
ACHE_+_100494570.23-P2	3430	2584	1468	87
ACHE_-_100493122.23-P1	1	4715	182	0
ACHE_-_100493427.23-P1	0	0	494	0
ACHE_-_100493486.23-P1	1556	2	1220	551
ACHE_-_100494233.23-P2	2902	1	1597	2
