Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
DSTYK	3	0.18655	1.4259	0.76971	0.99511	0.15389	0.52303	0.027991	0.21114	0.60215	0.9943	0.83278	1
DTYMK	3	0.44872	1.2151	0.96595	0.99866	0.22433	0.59947	0.00012843	0.00033869	0.32437	0.97823	0.99973	1
DUSP10	1	-2.2617	-1.7412	0.46416	0.96267	0.081648	0.5148	-3.617	-2.7712	0.68414	0.9943	0.0055854	0.085387
DUSP11	4	0.45529	1.2036	0.99418	0.99866	0.22873	0.60412	0.12436	0.32004	0.83692	0.9943	0.74894	1
DUSP12	1	-0.71175	-0.65483	0.76837	0.99511	0.51258	0.99608	-3.6552	-3.3727	0.6698	0.9943	0.00074446	0.014903
DUSP13	4	-2.5857	-2.095	0.09991	0.96267	0.036169	0.46048	0.31506	0.30951	0.98297	0.99909	0.75693	1
DUSP14	5	5.0159	0.076804	0.058692	0.96267	0.93878	0.99608	2.7313	0.041819	0.069444	0.92557	0.96664	1
DUSP15	1	3.5979	0.10089	0.68862	0.99511	0.91964	0.99608	1.9308	0.054141	0.86022	0.9943	0.95682	1
DUSP16	4	0.13648	1.4673	0.43459	0.96267	0.1423	0.52303	0.019159	0.20303	0.47491	0.99251	0.83911	1
DUSP18	2	4.9858	0.042849	0.21057	0.96267	0.96582	0.99608	2.4993	0.021478	0.35439	0.97823	0.98286	1
DUSP19	4	-2.5478	-2.2554	0.11425	0.96267	0.024107	0.4139	-0.77618	-0.84906	0.10305	0.92557	0.39585	1
DUSP21	4	1.1842	0.76826	0.89785	0.99764	0.44233	0.99225	-0.016839	-0.011371	0.19086	0.93333	0.99093	1
DUSP22	5	3.8059	0.19854	0.33333	0.96267	0.84262	0.99608	-0.87757	-0.04214	0.055556	0.92557	0.96639	1
DUSP23	2	0.74372	0.65233	0.89471	0.99764	0.51419	0.99608	-0.26936	-0.24957	0.35215	0.97823	0.80292	1
DUSP27	1	-1.1739	-0.06319	0.85977	0.99764	0.94961	0.99608	2.9856	0.16031	0.306	0.97823	0.87264	1
DUSP2	1	-0.88332	-0.021499	0.79077	0.99511	0.98285	0.99608	3.7554	0.090948	0.072133	0.92557	0.92753	1
DUSP3	5	-2.4285	-1.4429	0.095878	0.96267	0.14904	0.52303	1.4713	0.97523	0.6017	0.9943	0.32945	1
DUSP6	3	3.5569	0.16417	0.50851	0.96267	0.8696	0.99608	2.3943	0.11062	0.2836	0.97823	0.91192	1
DUSP7	5	-3.1108	-1.8549	0.012097	0.68889	0.063605	0.47481	-1.1632	-0.96323	0.03629	0.92557	0.33543	1
DUSP8	4	0.19413	1.5244	0.61694	0.99511	0.12741	0.52303	0.040252	0.31192	0.70878	0.9943	0.7551	1
DUT	1	-0.73895	-0.012559	0.77419	0.99511	0.98998	0.99608	4.1079	0.069468	0.036738	0.92557	0.94462	1
DYRK1A	3	0.13823	1.4673	0.64023	0.99511	0.14229	0.52303	0.015656	0.16385	0.50403	0.9943	0.86985	1
DYRK1B	4	4.5291	0.10264	0.17921	0.96267	0.91825	0.99608	2.3372	0.052962	0.23297	0.95264	0.95776	1
DYRK2	3	4.2027	0.11632	0.3414	0.96267	0.9074	0.99608	3.1271	0.086876	0.050179	0.92557	0.93077	1
DYRK3	5	3.7864	0.20395	0.33871	0.96267	0.83839	0.99608	1.8537	0.099869	0.40636	0.98378	0.92045	1
DYRK4	2	3.9585	0.096886	0.47222	0.96267	0.92282	0.99608	1.8668	0.04569	0.63306	0.9943	0.96356	1
EARS2	2	-1.075	-0.066365	0.73701	0.99511	0.94709	0.99608	3.378	0.20865	0.058692	0.92557	0.83472	1
ECE1	3	5.0821	0.056028	0.11738	0.96267	0.95532	0.99608	1.7774	0.019593	0.58333	0.9943	0.98437	1
EDA	2	5.1303	0.038006	0.17384	0.96267	0.96968	0.99608	2.1316	0.015789	0.53136	0.9943	0.9874	1
EEA1	3	0.84482	0.74646	0.96102	0.99866	0.45539	0.99608	-1.4636	-1.2588	0.12007	0.92557	0.20811	1
EEF2K	3	4.4183	0.098265	0.27778	0.96267	0.92172	0.99608	2.1948	0.048813	0.37634	0.98251	0.96107	1
EEF2	5	1.9461	0.47116	0.68414	0.99511	0.63753	0.99608	1.8897	0.47508	0.39247	0.98251	0.63473	1
EFNB2	4	-2.0097	-0.77499	0.22984	0.96267	0.43835	0.98628	-0.73726	-0.30732	0.10842	0.92557	0.7586	1
EFTUD1	1	-2.8735	-2.1364	0.10753	0.96267	0.032649	0.46048	-4.8979	-3.6408	0.09543	0.92557	0.00027175	0.0063182
EGFR	3	4.8074	0.088685	0.1819	0.96267	0.92933	0.99608	2.2957	0.042349	0.32796	0.97823	0.96622	1
EGLN1	3	0.2622	1.9172	0.85394	0.99764	0.055216	0.47176	0.032118	0.2321	0.62231	0.9943	0.81646	1
EGLN2	5	0.32123	1.856	0.84543	0.99764	0.063455	0.47481	0.016731	0.095587	0.31183	0.97823	0.92385	1
EGLN3	5	0.33412	1.678	0.86828	0.99764	0.093343	0.52303	0.033784	0.1678	0.62634	0.9943	0.86674	1
EHHADH	4	-2.6255	-4.3399	0.094086	0.96267	1.4255e-05	0.010606	-4.948	-8.2666	0.0076165	0.92557	1.3778e-16	3.0752e-13
EIF2AK1	5	-2.6236	-2.1282	0.062724	0.96267	0.033319	0.46048	0.49272	0.48871	0.92249	0.9943	0.62505	1
EIF2AK2	2	3.5879	0.12541	0.55511	0.96732	0.9002	0.99608	1.7301	0.060475	0.67697	0.9943	0.95178	1
EIF2AK3	4	4.2418	0.13897	0.25717	0.96267	0.88948	0.99608	2.0547	0.067314	0.36022	0.97823	0.94633	1
EIF2AK4	4	4.496	0.10996	0.19176	0.96267	0.91244	0.99608	1.0552	0.025588	0.79659	0.9943	0.97959	1
ELANE	4	3.218	0.24367	0.51882	0.96267	0.80748	0.99608	1.4214	0.10789	0.67742	0.9943	0.91408	1
ELOVL4	3	3.4248	0.19	0.53898	0.96267	0.84931	0.99608	1.1942	0.065776	0.84274	0.9943	0.94756	1
ELSPBP1	4	0.15092	1.4555	0.49059	0.96267	0.14553	0.52303	0.016393	0.15589	0.43056	0.98521	0.87612	1
EN2	4	2.1383	0.50529	0.69982	0.99511	0.61335	0.99608	1.2284	0.29927	0.74866	0.9943	0.76474	1
ENO3	8	0.38798	2.2739	0.99194	0.99866	0.02297	0.41293	0.034079	0.19764	0.41263	0.98503	0.84333	1
ENOPH1	3	1.9795	0.35162	0.87903	0.99764	0.72512	0.99608	1.8376	0.3307	0.54794	0.9943	0.74087	1
ENPEP	2	-3.3635	-2.731	0.0080645	0.68889	0.0063143	0.22208	0.021608	0.019584	0.58916	0.9943	0.98438	1
ENPP1	2	-0.37996	-0.0058914	0.74955	0.99511	0.9953	0.99735	4.6235	0.072719	0.0022401	0.66667	0.94203	1
ENPP2	4	0.99436	0.76841	0.91129	0.99764	0.44225	0.99225	-0.083357	-0.067576	0.18324	0.93333	0.94612	1
ENPP3	6	0.18892	1.8799	0.35305	0.96267	0.06012	0.47176	0.052381	0.5142	0.83916	0.9943	0.60711	1
EPHA10	7	4.1637	0.18407	0.16846	0.96267	0.85396	0.99608	1.4238	0.062706	0.54346	0.9943	0.95	1
EPHA1	3	5.6405	0.038492	0.03181	0.94231	0.9693	0.99608	0.28125	0.0019084	0.86201	0.9943	0.99848	1
EPHA2	4	-2.966	-2.9372	0.034498	0.94231	0.0033124	0.16429	0.20371	0.23875	0.93235	0.9943	0.8113	1
EPHA3	3	1.9932	0.415	0.8759	0.99764	0.67814	0.99608	0.9601	0.20054	0.92742	0.9943	0.84106	1
EPHA4	5	0.17768	1.4361	0.42608	0.96267	0.15097	0.52303	0.021358	0.17028	0.40636	0.98378	0.86479	1
EPHA5	4	2.2864	0.34568	0.66039	0.99511	0.72958	0.99608	2.0658	0.31965	0.35484	0.97823	0.74923	1
EPHA6	3	0.13616	1.4547	0.63262	0.99511	0.14575	0.52303	0.023666	0.24928	0.57348	0.9943	0.80315	1
EPHA7	4	0.023304	0.064045	0.34409	0.96267	0.94893	0.99608	0.48556	1.1732	0.97043	0.99909	0.24073	1
EPHA8	5	0.18743	1.4693	0.46057	0.96267	0.14175	0.52303	0.043381	0.3355	0.72401	0.9943	0.73725	1
EPHB1	4	4.4584	0.093461	0.19713	0.96267	0.92554	0.99608	2.6462	0.055474	0.12186	0.92557	0.95576	1
EPHB2	4	4.3654	0.11239	0.22043	0.96267	0.91051	0.99608	-0.62292	-0.015668	0.12366	0.92557	0.9875	1
EPHB3	2	4.2916	0.096929	0.38665	0.96267	0.92278	0.99608	0.24754	0.0055823	0.75493	0.9943	0.99555	1
EPHB4	3	0.15778	1.4482	0.71147	0.99511	0.14755	0.52303	0.026378	0.23881	0.59229	0.9943	0.81126	1
EPHB6	5	0.94504	0.63119	0.88799	0.99764	0.52792	0.99608	0.82948	0.5881	0.83871	0.9943	0.55646	1
EPHX2	4	0.45857	1.1982	0.9991	0.9991	0.23083	0.60412	0.13983	0.35573	0.85618	0.9943	0.72204	1
EPM2A	4	0.2026	1.9782	0.64113	0.99511	0.047906	0.47176	0.022745	0.21919	0.53405	0.9943	0.8265	1
EPN1	5	0.30695	1.7361	0.82079	0.99511	0.08255	0.51756	0.068443	0.38268	0.81362	0.9943	0.70196	1
EPOR	7	0.47782	2.2317	0.87679	0.99764	0.025633	0.42421	0.034401	0.15919	0.53853	0.9943	0.87352	1
EPRS	1	0.0047466	0.0055666	0.73432	0.99511	0.99556	0.99735	-2.0191	-2.3675	0.88127	0.9943	0.017907	0.25786
EPS8L1	5	0.51728	1.5383	0.94713	0.99764	0.12398	0.52303	0.17646	0.5116	0.94892	0.99671	0.60893	1
EPX	1	4.7019	0.043442	0.51658	0.96267	0.96535	0.99608	1.8223	0.016837	0.9086	0.9943	0.98657	1
ERBB2	4	4.2613	0.11958	0.25134	0.96267	0.90481	0.99608	1.7876	0.050054	0.50538	0.9943	0.96008	1
ERBB3	2	2.9253	0.20286	0.71192	0.99511	0.83925	0.99608	2.084	0.14461	0.55018	0.9943	0.88502	1
ERBB4	4	-2.8475	-2.6777	0.050179	0.95902	0.0074128	0.24695	0.50227	0.51583	0.96685	0.99909	0.60598	1
ERN1	4	2.6361	0.46961	0.60036	0.98821	0.63863	0.99608	-0.057475	-0.0099703	0.18548	0.93333	0.99204	1
ERN2	3	0.34743	1.2977	0.89516	0.99764	0.1944	0.57931	0.040901	0.14815	0.64964	0.9943	0.88222	1
ERO1LB	4	4.4684	0.11908	0.19579	0.96267	0.90521	0.99608	1.6896	0.04502	0.55108	0.9943	0.96409	1
ESD	4	0.60477	0.70783	0.9328	0.99764	0.47905	0.99608	-1.8061	-2.0045	0.052867	0.92557	0.045017	0.63999
ESRRG	12	0.38494	2.532	0.76882	0.99511	0.011342	0.32456	0.024168	0.15727	0.03853	0.92557	0.87503	1
ETFDH	4	3.5281	0.19363	0.44444	0.96267	0.84647	0.99608	1.6509	0.090675	0.57348	0.9943	0.92775	1
ETNK1	4	0.21842	1.9274	0.67966	0.99511	0.053928	0.47176	0.02491	0.21703	0.56586	0.9943	0.82819	1
ETNK2	2	0.49105	1.1749	0.90278	0.99764	0.24003	0.60412	0.042389	0.09913	0.62948	0.9943	0.92103	1
EXTL2	4	0.16838	1.4438	0.53584	0.96267	0.1488	0.52303	0.016188	0.13692	0.42921	0.98521	0.8911	1
F10	2	-2.1826	-2.8791	0.42294	0.96267	0.0039876	0.16996	-4.2166	-5.562	0.17608	0.93333	2.6671e-08	1.9203e-06
F11	1	4.5335	0.049703	0.55511	0.96732	0.96036	0.99608	-4.8958	-0.053937	0.096326	0.92557	0.95699	1
F13A1	4	1.9263	0.50489	0.75941	0.99511	0.61364	0.99608	1.2538	0.33679	0.74014	0.9943	0.73627	1
F2R	3	2.8775	0.24785	0.66756	0.99511	0.80425	0.99608	2.2689	0.19661	0.34229	0.97823	0.84414	1
F2	2	6.4279	0.018207	0.0076165	0.68889	0.98547	0.99608	2.2134	0.006269	0.49418	0.99372	0.995	1
F3	8	0.52828	2.0785	0.77285	0.99511	0.03766	0.46048	0.044404	0.17319	0.68369	0.9943	0.8625	1
F5	4	0.58838	1.3891	0.93728	0.99764	0.16481	0.52555	0.20235	0.46723	0.93056	0.9943	0.64033	1
F7	3	4.1201	0.13174	0.36335	0.96267	0.89519	0.99608	1.1363	0.036033	0.86514	0.9943	0.97126	1
F9	2	-2.8652	-3.4429	0.078853	0.96267	0.00057558	0.067615	-4.3968	-5.279	0.12679	0.92557	1.299e-07	7.2486e-06
FAAH	4	-2.8415	-1.5718	0.051971	0.95902	0.116	0.52303	-1.1195	-0.77386	0.072581	0.92557	0.43901	1
FABP6	3	2.4904	0.29007	0.77464	0.99511	0.77177	0.99608	2.1327	0.24906	0.40233	0.98251	0.80332	1
FADS1	3	4.3014	0.11218	0.31048	0.96267	0.91068	0.99608	0.94566	0.024441	0.93235	0.9943	0.9805	1
FADS2	7	4.8579	0.10783	0.035394	0.94231	0.91413	0.99608	2.0617	0.045748	0.22625	0.95264	0.96351	1
FAH	5	4.2116	0.1537	0.23297	0.96267	0.87784	0.99608	1.0233	0.037216	0.77464	0.9943	0.97031	1
FARS2	2	0.95583	0.69328	0.89382	0.99764	0.48814	0.99608	-4.593	-3.1969	0.09095	0.92557	0.0013891	0.025624
FARSA	2	-2.5206	-0.88874	0.2276	0.96267	0.37414	0.86091	1.3488	0.53871	0.81631	0.9943	0.59008	1
FASTK	2	0.23274	1.3913	0.99149	0.99866	0.16415	0.52555	3.3771e-05	0.00019948	0.431	0.98521	0.99984	1
FBP1	5	3.7368	0.25448	0.34767	0.96267	0.79912	0.99608	2.3986	0.16425	0.16398	0.93333	0.86954	1
FBP2	2	0.22185	1.3992	0.98387	0.99866	0.16176	0.52402	0.014333	0.089307	0.55242	0.9943	0.92884	1
FCER1A	1	6.1589	0.013174	0.093638	0.96267	0.98949	0.99608	3.1184	0.0066704	0.25314	0.97109	0.99468	1
FCER1G	4	0.49656	1.1702	0.95699	0.99866	0.24191	0.60412	0.093091	0.21385	0.79794	0.9943	0.83067	1
FCGR1B	3	3.5594	0.13253	0.50717	0.96267	0.89456	0.99608	3.1156	0.11626	0.051075	0.92557	0.90745	1
FCGR3A	2	5.1478	0.045604	0.17025	0.96267	0.96363	0.99608	-3.0547	-0.026107	0.29301	0.97823	0.97917	1
FCGR3B	2	-1.4764	-0.12105	0.69176	0.99511	0.90365	0.99608	3.0918	0.25314	0.11649	0.92557	0.80016	1
FCRL2	3	0.19734	1.4212	0.79122	0.99511	0.15524	0.52303	0.011946	0.084928	0.45744	0.98838	0.93232	1
FDX1	2	5.9122	0.025312	0.043907	0.94231	0.97981	0.99608	2.7972	0.01197	0.22043	0.94981	0.99045	1
FDXR	2	-3.2828	-2.3552	0.010305	0.68889	0.018511	0.41096	0.46913	0.35675	0.84453	0.9943	0.72128	1
FECH	2	0.40237	1.2435	0.94803	0.99764	0.21368	0.59705	0.075437	0.22716	0.65815	0.9943	0.8203	1
FER	3	-2.6918	-1.0038	0.11335	0.96267	0.31547	0.74207	1.6667	0.67773	0.62814	0.9943	0.49794	1
FES	5	2.2393	0.57152	0.65188	0.99511	0.56765	0.99608	1.0109	0.2616	0.78047	0.9943	0.79363	1
FFAR1	4	4.3242	0.11465	0.23029	0.96267	0.90872	0.99608	1.3278	0.034976	0.70968	0.9943	0.9721	1
FGA	2	0.14746	1.4615	0.89561	0.99764	0.14389	0.52303	0.0070173	0.068604	0.50224	0.9943	0.9453	1
FGB	3	2.1113	0.46395	0.85753	0.99764	0.64269	0.99608	0.92553	0.20698	0.93683	0.9943	0.83603	1
FGF4	3	3.7357	0.18194	0.46326	0.96267	0.85563	0.99608	2.4153	0.11776	0.27285	0.97823	0.90626	1
FGFR1	3	4.6968	0.088596	0.2052	0.96267	0.9294	0.99608	2.6027	0.049095	0.20027	0.93333	0.96084	1
FGFR2	5	0.26753	1.8873	0.74059	0.99511	0.059125	0.47176	0.048572	0.33852	0.75851	0.9943	0.73497	1
FGFR3	4	-2.451	-1.37	0.13217	0.96267	0.17068	0.53356	1.4375	0.86921	0.6698	0.9943	0.38473	1
FGFR4	4	4.3456	0.10052	0.22357	0.96267	0.91993	0.99608	2.1832	0.050496	0.29973	0.97823	0.95973	1
FGGY	2	5.7849	0.031058	0.055556	0.96267	0.97522	0.99608	-3.0843	-0.016433	0.29256	0.97823	0.98689	1
FGG	2	0.0035823	0.017072	0.78047	0.99511	0.98638	0.99608	0.31265	1.314	0.77151	0.9943	0.18885	1
FGR	4	1.1285	0.77981	0.90233	0.99764	0.4355	0.98087	0.44394	0.3296	0.98477	0.99909	0.7417	1
FLT1	4	0.15059	1.4851	0.4897	0.96267	0.13753	0.52303	0.016768	0.16304	0.43593	0.98521	0.87049	1
FLT3LG	4	4.6667	0.098239	0.1474	0.96267	0.92174	0.99608	2.0907	0.043994	0.34274	0.97823	0.96491	1
FLT3	5	2.6517	0.38991	0.59857	0.98821	0.69661	0.99608	1.7921	0.26493	0.43683	0.98521	0.79107	1
FLT4	3	-2.5901	-0.91109	0.1362	0.96267	0.36225	0.83527	1.7349	0.66648	0.59857	0.9943	0.50511	1
FN3KRP	4	2.3952	0.34942	0.64068	0.99511	0.72677	0.99608	1.62	0.23923	0.58513	0.9943	0.81092	1
FN3K	4	4.3386	0.13649	0.22536	0.96267	0.89143	0.99608	2.0439	0.064191	0.36873	0.98251	0.94882	1
FNTA	2	2.922	0.27141	0.71237	0.99511	0.78608	0.99608	1.1577	0.1088	0.89158	0.9943	0.91336	1
FNTB	5	4.4504	0.12838	0.16756	0.96267	0.89785	0.99608	0.90937	0.026176	0.80959	0.9943	0.97912	1
FOLH1	2	4.0567	0.090664	0.44713	0.96267	0.92776	0.99608	2.8314	0.063376	0.2052	0.93915	0.94947	1
FOLR2	1	-1.3913	-1.1309	0.94624	0.99764	0.25808	0.62341	-4.7781	-3.9114	0.15188	0.93333	9.1755e-05	0.00256
FOLR3	5	0.12769	1.4484	0.25806	0.96267	0.14749	0.52303	0.058194	0.65051	0.79301	0.9943	0.51536	1
FPGS	3	0.19944	1.8009	0.79435	0.99511	0.071714	0.49146	0.010326	0.092042	0.43817	0.98521	0.92666	1
FPR1	3	0.47806	1.1902	0.99283	0.99866	0.23396	0.60412	9.0133e-05	0.0002188	0.32124	0.97823	0.99983	1
FRK	5	0.13143	1.458	0.27554	0.96267	0.14483	0.52303	0.044246	0.48376	0.72984	0.9943	0.62856	1
FSHR	2	5.4196	0.035755	0.11335	0.96267	0.97148	0.99608	1.923	0.012668	0.6147	0.9943	0.98989	1
FST	4	1.9605	0.35072	0.74955	0.99511	0.7258	0.99608	1.9883	0.36359	0.40233	0.98251	0.71616	1
FTCD	5	0.61411	1.4889	0.92787	0.99764	0.13652	0.52303	0.12452	0.29528	0.87366	0.9943	0.76778	1
FTH1	5	1.1873	0.78957	0.85125	0.99764	0.42978	0.97296	-0.7195	-0.48395	0.066756	0.92557	0.62842	1
FTL	3	0.014723	0.053418	0.52912	0.96267	0.9574	0.99608	0.38673	1.2379	0.8983	0.9943	0.21576	1
FUK	3	0.48307	1.1771	0.99776	0.99866	0.23915	0.60412	0.13259	0.31516	0.78136	0.9943	0.75264	1
FXYD2	4	6.0488	0.031072	0.0026882	0.68421	0.97521	0.99608	2.424	0.012436	0.19937	0.93333	0.99008	1
FYN	2	3.942	0.10012	0.47581	0.96267	0.92025	0.99608	2.6865	0.068293	0.26927	0.97823	0.94555	1
G6PC2	4	3.3135	0.23163	0.50179	0.96267	0.81682	0.99608	0.84312	0.058766	0.875	0.9943	0.95314	1
G6PC3	2	4.6077	0.056324	0.31048	0.96267	0.95508	0.99608	3.5114	0.042927	0.042115	0.92557	0.96576	1
G6PC	1	-2.3042	-1.7424	0.44355	0.96267	0.081435	0.5148	-5.0038	-3.8011	0.072133	0.92557	0.00014406	0.0039212
GAA	3	2.8909	0.21491	0.66219	0.99511	0.82984	0.99608	2.8503	0.21355	0.11559	0.92557	0.8309	1
GABBR1	5	0.38438	1.2029	0.931	0.99764	0.22901	0.60412	0.22064	0.66984	0.99776	0.9991	0.50296	1
GABBR2	3	-3.234	-2.3242	0.012993	0.68889	0.020115	0.41293	-0.35127	-0.32048	0.2052	0.93915	0.7486	1
GABRA1	3	0.18722	1.4301	0.77195	0.99511	0.15268	0.52303	0.0072676	0.054787	0.40143	0.98251	0.95631	1
GABRA2	1	-2.3772	-1.7976	0.4086	0.96267	0.072238	0.49146	-4.4111	-3.3355	0.33109	0.97823	0.0008515	0.016384
GABRA3	3	-2.844	-2.4711	0.071237	0.96267	0.01347	0.36226	-0.17132	-0.17513	0.24731	0.96503	0.86098	1
GABRA4	3	-1.7377	-0.38003	0.40815	0.96267	0.70392	0.99608	2.3923	0.53602	0.28405	0.97823	0.59195	1
GABRA5	2	5.7337	0.029704	0.06362	0.96267	0.9763	0.99608	1.633	0.0084541	0.71505	0.9943	0.99325	1
GABRB1	4	0.4808	1.1877	0.97805	0.99866	0.23496	0.60412	0.043657	0.10506	0.72625	0.9943	0.91633	1
GABRB2	2	-2.1498	-1.0037	0.4422	0.96267	0.31551	0.74207	1.0946	0.5858	0.91532	0.9943	0.55801	1
GABRB3	5	3.5252	0.21859	0.40099	0.96267	0.82697	0.99608	1.8969	0.11767	0.39068	0.98251	0.90633	1
GABRD	3	0.19598	1.4224	0.78853	0.99511	0.1549	0.52303	0.011	0.078804	0.44758	0.98521	0.93719	1
GABRE	2	0.26733	1.2011	0.99642	0.99866	0.22971	0.60412	0.15897	0.69215	0.72088	0.9943	0.48884	1
GABRG1	1	-2.7407	-2.047	0.18056	0.96267	0.040656	0.47172	-4.7652	-3.5584	0.1595	0.93333	0.00037319	0.0081662
GABRG2	2	-2.9283	-1.7739	0.0569	0.96267	0.076072	0.49873	0.50291	0.34191	0.85932	0.9943	0.73242	1
GABRG3	4	-1.6197	-0.52795	0.28405	0.96267	0.59754	0.99608	2.1092	0.7146	0.33423	0.97823	0.47486	1
GABRP	2	-2.5108	-1.2968	0.23208	0.96267	0.1947	0.57942	0.89718	0.52675	0.99194	0.9991	0.59837	1
GABRQ	3	3.1528	0.16111	0.60081	0.98821	0.872	0.99608	3.1403	0.16081	0.047043	0.92557	0.87224	1
GABRR1	3	0.40247	1.2547	0.93459	0.99764	0.20959	0.59705	0.0002132	0.00064608	0.33378	0.97823	0.99948	1
GABRR2	5	1.6598	0.36395	0.7379	0.99511	0.71589	0.99608	2.2233	0.50292	0.23297	0.95264	0.61502	1
GABRR3	1	0.56114	0.0042691	0.7267	0.99511	0.99659	0.99749	4.9042	0.037186	0.012097	0.92557	0.97034	1
GAD1	3	0.41599	1.2215	0.94131	0.99764	0.22191	0.5985	0.10197	0.29133	0.74014	0.9943	0.7708	1
GAD2	2	-1.0186	-0.24515	0.7388	0.99511	0.80634	0.99608	-3.1349	-0.75962	0.29122	0.97823	0.44748	1
GADL1	5	0.49549	1.1793	0.95744	0.99866	0.23829	0.60412	0.00030829	0.00071479	0.13978	0.93333	0.99943	1
GAK	4	0.35823	1.2817	0.90771	0.99764	0.19994	0.5867	0.072568	0.25169	0.77195	0.9943	0.80128	1
GALE	4	-2.0751	-0.42284	0.21953	0.96267	0.67241	0.99608	2.419	0.53882	0.20027	0.93333	0.59001	1
GALK1	5	4.5705	0.11154	0.13844	0.96267	0.91119	0.99608	2.0099	0.049036	0.32751	0.97823	0.96089	1
GALK2	7	0.27566	2.2806	0.65726	0.99511	0.022572	0.41293	0.014826	0.12118	0.14113	0.93333	0.90355	1
GALM	2	0.26791	1.3602	0.99642	0.99866	0.17377	0.53892	0.017572	0.088221	0.56676	0.9943	0.9297	1
GALNT1	1	-2.6929	-1.4621	0.21416	0.96267	0.14372	0.52303	0.96182	0.52049	0.92652	0.9943	0.60273	1
GAPDHS	2	-2.5363	-1.8295	0.22267	0.96267	0.067322	0.47939	0.30765	0.25046	0.77106	0.9943	0.80223	1
GAPDH	2	0.39701	1.2371	0.94982	0.99765	0.21606	0.59705	0.089405	0.2713	0.66891	0.9943	0.78616	1
GARS	1	5.5146	0.022525	0.27599	0.96267	0.98203	0.99608	-3.1332	-0.01283	0.80063	0.9943	0.98976	1
GART	4	0.15297	1.4508	0.49642	0.96267	0.14684	0.52303	0.034229	0.3201	0.66846	0.9943	0.74889	1
GATM	5	0.66149	1.4429	0.90995	0.99764	0.14904	0.52303	0.090127	0.19259	0.83199	0.9943	0.84728	1
GBA	8	0.15546	1.793	0.13082	0.96267	0.072967	0.49146	0.024386	0.27727	0.20699	0.93915	0.78157	1
GCAT	3	-1.72	-0.6415	0.41039	0.96267	0.5212	0.99608	1.9017	0.732	0.51927	0.9943	0.46417	1
GCA	2	0.0029398	0.023373	0.77643	0.99511	0.98135	0.99608	0.18817	1.4266	0.73701	0.9943	0.15369	1
GCDH	2	3.0055	0.19589	0.70027	0.99511	0.8447	0.99608	1.7284	0.1127	0.67832	0.9943	0.91027	1
GCGR	4	-2.0911	-0.64047	0.2164	0.96267	0.52186	0.99608	2.0431	0.66978	0.36918	0.98251	0.503	1
GCH1	4	3.5387	0.22077	0.4431	0.96267	0.82527	0.99608	1.8243	0.11424	0.48835	0.99372	0.90905	1
GCK	4	-2.5834	-2.0262	0.10081	0.96267	0.042748	0.47176	0.68606	0.64459	0.91532	0.9943	0.51919	1
GCSH	3	2.0668	0.6026	0.86425	0.99764	0.54677	0.99608	-1.0655	-0.27549	0.13127	0.93312	0.78294	1
GDI1	2	5.4217	0.041594	0.1129	0.96267	0.96682	0.99608	3.4288	0.026306	0.053315	0.92557	0.97901	1
GFER	2	-1.97	-2.5958	0.53047	0.96267	0.0094359	0.28871	-4.0048	-5.2739	0.21595	0.94325	1.3356e-07	7.2706e-06
GGCX	3	0.13821	1.4705	0.64023	0.99511	0.14143	0.52303	0.017224	0.18068	0.51971	0.9943	0.85662	1
GGPS1	4	0.42996	0.51159	0.97581	0.99866	0.60894	0.99608	-1.451	-1.7678	0.057348	0.92557	0.077093	1
GHRHR	7	2.2074	0.49095	0.59543	0.98821	0.62346	0.99608	2.0134	0.45123	0.25403	0.97109	0.65183	1
GIT1	5	3.0949	0.32611	0.5112	0.96267	0.74434	0.99608	0.0011928	0.00012112	0.14247	0.93333	0.9999	1
GIT2	4	0.16642	1.4403	0.53091	0.96267	0.14978	0.52303	0.039616	0.33817	0.70654	0.9943	0.73524	1
GK2	3	-2.237	-0.74619	0.25403	0.96267	0.45555	0.99608	1.9855	0.67456	0.47581	0.99252	0.49995	1
GK5	1	-2.663	-1.9949	0.23522	0.96267	0.046056	0.47176	-4.6874	-3.5107	0.19892	0.93333	0.00044692	0.0095915
GKAP1	3	2.7489	0.21617	0.70565	0.99511	0.82885	0.99608	1.9649	0.15456	0.48387	0.99372	0.87717	1
GK	4	4.6742	0.090413	0.14606	0.96267	0.92796	0.99608	1.7878	0.034553	0.50538	0.9943	0.97244	1
GLA	3	4.1472	0.12945	0.35573	0.96267	0.897	0.99608	1.0301	0.03191	0.90054	0.9943	0.97454	1
GLDC	3	0.49106	1.1231	0.9897	0.99866	0.26141	0.62806	0.19168	0.42781	0.83781	0.9943	0.66879	1
GLIPR2	5	3.436	0.27099	0.42608	0.96267	0.7864	0.99608	1.6185	0.12786	0.52554	0.9943	0.89826	1
GLP1R	5	-2.7321	-2.4698	0.046147	0.94495	0.013517	0.36226	0.77656	0.85145	0.85125	0.9943	0.39452	1
GLP2R	3	-2.8927	-1.1415	0.06362	0.96267	0.25368	0.61746	1.6778	0.66968	0.62455	0.9943	0.50306	1
