Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
RPS6KA4	3	2.951	0.21886	0.6483	0.99511	0.82676	0.99608	2.2682	0.16875	0.34319	0.97823	0.86599	1
RPS6KA5	3	0.13835	1.4608	0.64158	0.99511	0.14407	0.52303	0.022501	0.23425	0.56362	0.9943	0.81479	1
RPS6KA6	4	4.1118	0.12607	0.29032	0.96267	0.89968	0.99608	3.1761	0.097629	0.020161	0.92557	0.92223	1
RPS6KB1	3	-1.6113	-0.30954	0.43324	0.96267	0.75691	0.99608	2.2276	0.48491	0.36246	0.97823	0.62774	1
RPS6KB2	1	-2.483	-0.67531	0.3517	0.96267	0.49948	0.99608	1.5277	0.41448	0.99866	0.9991	0.67852	1
RPS6KC1	5	4.1228	0.16378	0.25538	0.96267	0.86991	0.99608	1.6514	0.065482	0.5103	0.9943	0.94779	1
RPS6KL1	4	0.13445	1.4741	0.42384	0.96267	0.14046	0.52303	0.007793	0.084214	0.28943	0.97823	0.93289	1
RTCA	3	2.8333	0.28806	0.67921	0.99511	0.7733	0.99608	1.5229	0.15743	0.70206	0.9943	0.87491	1
RXRA	3	4.4232	0.099465	0.27643	0.96267	0.92077	0.99608	2.6251	0.05904	0.19176	0.93333	0.95292	1
RXRB	2	4.8924	0.046018	0.24194	0.96267	0.9633	0.99608	2.8464	0.026774	0.19758	0.93333	0.97864	1
RXRG	2	4.9345	0.062508	0.22715	0.96267	0.95016	0.99608	-3.8561	-0.047891	0.24014	0.95406	0.9618	1
RYK	1	5.6473	0.020184	0.23387	0.96267	0.9839	0.99608	-3.7366	-0.013381	0.64606	0.9943	0.98932	1
RYR1	2	4.1907	0.084531	0.41039	0.96267	0.93263	0.99608	2.7351	0.055247	0.24776	0.9651	0.95594	1
S100A11	5	3.6654	0.18975	0.36559	0.96267	0.8495	0.99608	2.3615	0.12233	0.17518	0.93333	0.90264	1
S100A12	6	0.56194	1.3896	0.90995	0.99764	0.16465	0.52555	0.10181	0.24572	0.92652	0.9943	0.8059	1
S100A13	3	3.2989	0.27047	0.56362	0.96925	0.7868	0.99608	0.88797	0.072137	0.95072	0.99671	0.94249	1
