	Diff	Lower	Upper
	Rep1	Rep1	Rep1
sgId			
ACVRL1_+_52300819.23-P1P2	1528	0	3
ACVRL1_-_52300776.23-P1P2	0	0	0
ACVRL1_-_52301119.23-P1P2	0	0	0
ACY1_+_52017535.23-P1P2	886	0	1680
ACY1_+_52017980.23-P1P2	4070	3821	2320
ACY1_-_52017547.23-P1P2	2754	8769	6
ACY1_-_52017921.23-P1P2	0	0	0
ACY1_-_52017938.23-P1P2	0	0	0
ACY3_+_67414985.23-P2	2982	0	0
ACY3_+_67415013.23-P2	1061	0	1
ACY3_+_67417722.23-P1	0	0	0
ACY3_+_67417960.23-P1	2802	4499	1270
ACY3_+_67418110.23-P1	1571	3753	6350
ACY3_-_67414577.23-P2	1513	2123	3010
ACY3_-_67414607.23-P2	0	0	0
ACY3_-_67414970.23-P2	0	0	0
ACY3_-_67417956.23-P1	0	0	0
ACY3_-_67418149.23-P1	1334	2	1429
ACYP2_+_54342830.23-P1P2	469	4	1
ACYP2_-_54342821.23-P1P2	0	0	0
ACYP2_-_54343153.23-P1P2	0	0	0
ACYP2_-_54343157.23-P1P2	3446	3	2981
ACYP2_-_54343180.23-P1P2	2378	2	1961
ADAM33_+_3662271.23-P1P2	2240	2	1
ADAM33_+_3662642.23-P1P2	5074	4	2
ADAM33_-_3662191.23-P1P2	1573	1	1
ADAM33_-_3662194.23-P1P2	0	0	0
ADAM33_-_3662638.23-P1P2	6183	2	4
ADAMTS5_+_28339356.23-P1P2	812	4939	1569
ADAMTS5_+_28339363.23-P1P2	2337	3	2
ADAMTS5_-_28338950.23-P1P2	728	4903	0
ADAMTS5_-_28339372.23-P1P2	3302	6	3199
ADAMTS5_-_28339421.23-P1P2	0	0	0
ADCK1_+_78266506.23-P1P2	2743	5726	4
ADCK1_-_78266512.23-P1P2	634	1	1832
ADCK1_-_78266523.23-P1P2	1594	1	3
ADCK1_-_78266828.23-P1P2	2597	2895	2
ADCK1_-_78266900.23-P1P2	2165	5461	2
ADCK2_+_140372748.23-P1P2	887	0	1
ADCK2_+_140373084.23-P1P2	1327	2	2668
ADCK2_+_140373152.23-P1P2	4227	5036	2013
ADCK2_-_140373160.23-P1P2	2920	1	1
ADCK2_-_140373404.23-P1P2	0	0	0
ADCK3_+_227128242.23-P1P2	0	0	0
ADCK3_+_227128400.23-P1P2	2240	3341	3240
ADCK3_-_227128046.23-P1P2	2879	2802	1457
ADCK3_-_227128055.23-P1P2	2853	4	4468
ADCK3_-_227128078.23-P1P2	0	0	0
ADCK4_+_41222752.23-P1P2	1534	1	0
ADCK4_-_41222351.23-P1P2	1741	1	0
ADCK4_-_41222709.23-P1P2	0	0	0
ADCK4_-_41222769.23-P1P2	0	0	0
ADCK4_-_41222791.23-P1P2	2479	2	5175
ADCK5_+_145597793.23-P1P2	0	0	0
ADCK5_-_145597191.23-P1P2	626	0	0
ADCK5_-_145597250.23-P1P2	764	0	0
ADCK5_-_145597781.23-P1P2	2490	1212	1637
ADCK5_-_145597789.23-P1P2	0	0	0
ADC_+_33546832.23-P1P2	3525	3	2
ADC_+_33546850.23-P1P2	1657	5067	1
ADC_+_33546977.23-P1P2	0	0	0
ADC_-_33546826.23-P1P2	2095	3025	4
ADC_-_33546829.23-P1P2	0	0	0
ADH1B_+_100242040.23-P1P2	0	0	0
ADH1B_+_100242511.23-P1P2	0	0	0
ADH1B_-_100242120.23-P1P2	0	0	0
ADH1B_-_100242280.23-P1P2	0	0	0
ADH1B_-_100242333.23-P1P2	0	0	0
ADH1C_+_100273655.23-P1P2	1835	2250	420
ADH1C_-_100273471.23-P1P2	0	0	0
ADH1C_-_100273518.23-P1P2	0	0	0
ADH1C_-_100273879.23-P1P2	2942	1	2823
ADH1C_-_100273923.23-P1P2	4484	3	2030
ADH4_+_100065429.23-P1P2	0	0	0
ADH4_+_100065433.23-P1P2	1391	1	1
ADH4_+_100065444.23-P1P2	1090	5107	5
ADH4_+_100065450.23-P1P2	0	0	0
ADH4_-_100065227.23-P1P2	0	0	0
ADH5_+_100009684.23-P1P2	0	0	0
ADH5_+_100009798.23-P1P2	0	0	0
ADH5_+_100009821.23-P1P2	1333	1	1724
ADH5_+_100009838.23-P1P2	1592	0	0
ADH5_-_100009831.23-P1P2	0	0	0
ADK_+_75911404.23-P2	0	0	0
ADK_+_75911444.23-P2	0	0	0
ADK_+_75936517.23-P1	2540	6	2138
ADK_+_75936538.23-P1	4152	0	2
ADK_+_75936570.23-P1	2020	4319	1475
ADK_+_75936748.23-P1	0	0	0
ADK_-_75911021.23-P2	0	0	0
ADK_-_75911025.23-P2	0	0	0
ADK_-_75911437.23-P2	684	1	2
ADK_-_75936578.23-P1	0	0	0
ADORA1_+_203096891.23-P1P2	4282	1	7
ADORA1_+_203097450.23-P1P2	3959	4	2163
ADORA1_+_203097472.23-P1P2	2753	4470	2420
ADORA1_+_203097506.23-P1P2	0	0	0
ADORA1_-_203096974.23-P1P2	0	0	0
ADORA2A_+_24820308.23-P1P2	2377	5	3654
ADORA2A_-_24819888.23-P1P2	1929	1987	2
ADORA2A_-_24819903.23-P1P2	0	0	0
ADORA2A_-_24819947.23-P1P2	1620	4578	1588
ADORA2A_-_24820281.23-P1P2	0	0	0
ADORA2B_+_15848686.23-P1P2	1645	3	2947
ADORA2B_+_15848965.23-P1P2	0	0	0
ADORA2B_-_15848659.23-P1P2	5024	2106	1
ADORA2B_-_15848791.23-P1P2	0	0	0
ADORA2B_-_15848949.23-P1P2	1587	2	1687
ADORA3_+_112031013.23-P1	0	0	0
ADORA3_+_112031386.23-P1	29	4	1815
ADORA3_+_112031407.23-P1	0	0	0
ADORA3_+_112031411.23-P1	856	0	0
ADORA3_+_112031418.23-P1	1314	2	840
ADORA3_+_112045890.23-P2	0	0	0
ADORA3_+_112046055.23-P2	1580	3	1803
ADORA3_+_112046115.23-P2	603	0	0
ADORA3_+_112046284.23-P2	0	0	0
ADORA3_-_112046251.23-P2	0	0	0
ADRA1A_+_26724406.23-P1P2	5061	2890	4005
ADRA1A_-_26724311.23-P1P2	1362	1	3492
ADRA1A_-_26724340.23-P1P2	367	0	1
ADRA1A_-_26724356.23-P1P2	5297	2	0
ADRA1A_-_26724373.23-P1P2	0	0	0
ADRA1B_+_159343520.23-P1P2	4234	4	1926
ADRA1B_+_159344209.23-P1P2	2587	0	2140
ADRA1B_+_159344222.23-P1P2	0	0	0
ADRA1B_-_159343504.23-P1P2	5813	5528	1563
ADRA1B_-_159343900.23-P1P2	1133	2598	1
ADRA1D_+_4229485.23-P1P2	1325	6	3869
ADRA1D_-_4229164.23-P1P2	0	0	0
ADRA1D_-_4229250.23-P1P2	2768	2	2
ADRA1D_-_4229495.23-P1P2	2279	887	1541
ADRA1D_-_4229926.23-P1P2	395	3072	1244
ADRA2A_-_112837142.23-P1P2	2838	0	2
ADRA2A_-_112837201.23-P1P2	1930	5	3268
ADRA2A_-_112837216.23-P1P2	0	0	0
ADRA2A_-_112837238.23-P1P2	799	0	0
ADRA2A_-_112837251.23-P1P2	3219	0	0
ADRA2B_+_96781839.23-P1P2	2434	7	3193
ADRA2B_-_96781873.23-P1P2	0	0	0
ADRA2B_-_96781894.23-P1P2	0	0	0
ADRA2B_-_96782243.23-P1P2	0	0	0
ADRA2B_-_96782246.23-P1P2	1175	0	0
