Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
MAP3K1	5	1.6657	0.33826	0.72279	0.99211	0.73517	0.99584	2.3637	0.50556	0.17197	0.96571	0.61317	1
MAP3K2	4	0.34436	1.5401	0.87819	0.99483	0.12354	0.50888	0.019001	0.084088	0.45007	0.97525	0.93299	1
MAP3K3	5	0.50994	1.6138	0.94223	0.99483	0.10658	0.50888	0.10063	0.31055	0.88536	0.99612	0.75614	1
MAP3K4	3	0.162	1.4514	0.69816	0.99211	0.14666	0.50888	0.0053558	0.047341	0.35737	0.96571	0.96224	1
MAP3K5	4	0.22946	1.9493	0.70399	0.99211	0.051261	0.45508	0.0061238	0.051381	0.24765	0.96571	0.95902	1
MAP3K6	2	2.2395	0.42036	0.81818	0.99211	0.67422	0.99584	0.35818	0.067608	0.81773	0.99612	0.9461	1
MAP3K7	3	4.4906	0.092296	0.24675	0.96351	0.92646	0.99584	2.4934	0.051249	0.23466	0.96571	0.95913	1
MAP3K8	3	-2.3754	-0.44258	0.19749	0.96351	0.65807	0.99584	2.2614	0.48209	0.33542	0.96571	0.62974	1
MAP3K9	4	4.7914	0.090397	0.11912	0.96351	0.92797	0.99584	1.7579	0.033129	0.50291	0.98512	0.97357	1
MAP4K1	2	2.471	0.34638	0.78056	0.99211	0.72906	0.99584	-0.28207	-0.038448	0.36185	0.96571	0.96933	1
MAP4K2	4	0.25532	1.3718	0.76086	0.99211	0.17013	0.51339	0.014828	0.078718	0.37528	0.96571	0.93726	1
MAP4K3	4	0.46104	1.1998	0.99776	0.99955	0.2302	0.57741	0.073359	0.18591	0.7725	0.99612	0.85252	1
MAP4K4	1	-2.2954	-0.47958	0.42991	0.96351	0.63153	0.99584	1.7503	0.36517	0.92521	0.99759	0.71499	1
MAP4K5	3	5.0581	0.05564	0.11644	0.96351	0.95563	0.99584	1.6377	0.018012	0.61755	0.99612	0.98563	1
MAPK10	4	-3.2778	-2.347	0.011644	0.72222	0.018927	0.39133	-0.63655	-0.5871	0.11151	0.96571	0.55714	1
MAPK11	4	0.38382	1.222	0.91984	0.99483	0.22172	0.57496	0.16169	0.49995	0.88715	0.99612	0.61711	1
MAPK12	4	4.319	0.13825	0.22884	0.96351	0.89004	0.99584	3.0613	0.098013	0.033587	0.96571	0.92192	1
MAPK13	6	0.13314	1.4547	0.17779	0.96351	0.14574	0.50888	0.043356	0.46694	0.75325	0.99612	0.64054	1
MAPK14	4	0.13517	1.4542	0.412	0.96351	0.14588	0.50888	0.032163	0.34116	0.62606	0.99612	0.73299	1
MAPK15	3	-2.4048	-0.79099	0.18988	0.96351	0.42895	0.94649	1.8284	0.62197	0.53023	0.98512	0.53396	1
MAPK1	4	0.19743	1.422	0.60322	0.98179	0.15503	0.50888	0.01828	0.12996	0.43842	0.97525	0.8966	1
MAPK3	3	-2.4958	-1.3236	0.15719	0.96351	0.18565	0.54356	1.3162	0.73546	0.76131	0.99612	0.46206	1
MAPK4	4	3.8658	0.17527	0.36095	0.96351	0.86087	0.99584	1.9723	0.089435	0.39588	0.96824	0.92874	1
MAPK6	2	-1.3423	-0.19283	0.71294	0.99211	0.84709	0.99584	2.5012	0.36384	0.35692	0.96571	0.71598	1
MAPK7	5	0.0034372	0.044026	0.18943	0.96351	0.96488	0.99584	0.12109	1.4761	0.90775	0.99612	0.13992	1
MAPK8IP1	8	1.7263	0.66675	0.60949	0.98267	0.50493	0.99584	1.6964	0.66825	0.36856	0.96571	0.50397	1
MAPK8IP2	3	3.3138	0.14325	0.54769	0.96351	0.8861	0.99584	3.2744	0.14188	0.027765	0.93939	0.88718	1
MAPK8IP3	4	5.1042	0.076438	0.059561	0.91781	0.93907	0.99584	1.0617	0.015881	0.8146	0.99612	0.98733	1
MAPK8	4	4.2628	0.11553	0.24496	0.96351	0.90802	0.99584	2.7805	0.07538	0.085535	0.96571	0.93991	1
MAPK9	4	0.0055029	0.042594	0.3202	0.96351	0.96602	0.99584	0.25467	1.8785	0.95387	0.99767	0.060317	0.81629
MAPKAP1	7	0.31289	2.246	0.77743	0.99211	0.024702	0.39971	0.021783	0.15459	0.23197	0.96571	0.87714	1
MAPKAPK2	4	3.9423	0.15855	0.33901	0.96351	0.87402	0.99584	1.9994	0.080458	0.38334	0.96571	0.93587	1
MAPKAPK3	3	4.2788	0.10882	0.29512	0.96351	0.91335	0.99584	1.4439	0.036718	0.70578	0.99612	0.97071	1
MAPKAPK5	4	4.306	0.10579	0.23421	0.96351	0.91575	0.99584	2.3828	0.05854	0.22526	0.96571	0.95332	1
MAPKBP1	4	5.1497	0.059722	0.054187	0.90299	0.95238	0.99584	0.19695	0.0022132	0.92208	0.99758	0.99823	1
MARCKS	2	5.0557	0.039758	0.19973	0.96351	0.96829	0.99584	2.7819	0.021877	0.23466	0.96571	0.98255	1
MARK1	5	1.8193	0.6414	0.69458	0.99211	0.52126	0.99584	0.46828	0.16845	0.89207	0.99612	0.86623	1
MARK2	8	0.33208	2.1561	0.8446	0.99211	0.031076	0.43975	0.047811	0.30697	0.74519	0.99612	0.75887	1
MARK3	7	0.21901	1.9148	0.3914	0.96351	0.055522	0.45508	0.056848	0.49062	0.90999	0.99612	0.6237	1
MARK4	5	0.28233	1.8613	0.78504	0.99211	0.062701	0.46003	0.040588	0.26447	0.74474	0.99612	0.79142	1
MASP2	3	0.43682	1.2191	0.97134	0.99908	0.22282	0.57496	0.060537	0.16456	0.69861	0.99612	0.86929	1
MAST1	8	3.2366	0.35229	0.36677	0.96351	0.72462	0.99584	2.0285	0.22098	0.21182	0.96571	0.82511	1
MAST2	4	3.4908	0.24884	0.46574	0.96351	0.80349	0.99584	0.40605	0.028769	0.98701	0.99774	0.97705	1
MAST3	4	0.14231	1.7161	0.44559	0.96351	0.086137	0.50888	0.024747	0.29427	0.54232	0.98701	0.76855	1
MAST4	4	2.1013	0.43583	0.72906	0.99211	0.66296	0.99584	1.3759	0.28968	0.68831	0.99612	0.77206	1
MASTL	1	5.3035	0.02676	0.30408	0.96351	0.97865	0.99584	2.0426	0.010306	0.81415	0.99612	0.99178	1
MAT1A	1	-2.088	-1.5968	0.6189	0.98297	0.11031	0.50888	-4.7988	-3.6787	0.16435	0.96571	0.00023441	0.0055685
MAT2A	3	4.1392	0.10947	0.33677	0.96351	0.91283	0.99584	0.37191	0.0096432	0.92835	0.99759	0.99231	1
MATK	4	3.7963	0.15883	0.38289	0.96351	0.87381	0.99584	3.0129	0.12643	0.041648	0.96571	0.89939	1
MBL2	3	1.7726	0.56032	0.89655	0.99483	0.57526	0.99584	-3.3766	-0.87436	0.10882	0.96571	0.38192	1
MB	1	-1.1461	-0.033584	0.824	0.99211	0.97321	0.99584	3.574	0.10421	0.12181	0.96571	0.917	1
MC2R	2	4.8929	0.055197	0.24138	0.96351	0.95598	0.99584	2.7637	0.031178	0.24227	0.96571	0.97513	1
MCCC1	3	-2.2601	-1.1413	0.24496	0.96351	0.25373	0.59453	1.4052	0.77688	0.72638	0.99612	0.43723	1
MCCC2	3	2.5247	0.27095	0.73936	0.99211	0.78643	0.99584	2.4593	0.26524	0.24944	0.96571	0.79082	1
MCFD2	6	0.17062	1.7457	0.28974	0.96351	0.080859	0.49704	0.00363	0.036636	0.091357	0.96571	0.97078	1
ME2	2	0.013267	0.059505	0.81863	0.99211	0.95255	0.99584	0.32241	1.2856	0.80206	0.99612	0.1986	1
ME3	3	4.2793	0.10845	0.29512	0.96351	0.91364	0.99584	1.9441	0.049263	0.47783	0.97532	0.96071	1
MED1	1	-1.9421	-1.5344	0.72727	0.99211	0.12494	0.50888	-3.2882	-2.5852	0.78191	0.99612	0.0097314	0.14296
MELK	3	3.4305	0.18607	0.52262	0.96351	0.85239	0.99584	-0.26901	-0.014423	0.22526	0.96571	0.98849	1
MERTK	4	0.34065	1.2492	0.8755	0.99483	0.21158	0.57496	0.17589	0.62524	0.90506	0.99612	0.53181	1
METAP1	4	3.8387	0.16076	0.3708	0.96351	0.87228	0.99584	0.039259	0.0016022	0.68294	0.99612	0.99872	1
MET	1	4.8699	0.038009	0.44693	0.96351	0.96968	0.99584	1.5632	0.0122	0.98522	0.99774	0.99027	1
MGAM	4	3.8181	0.16086	0.37752	0.96351	0.8722	0.99584	1.4123	0.059324	0.67353	0.99612	0.95269	1
MGAT1	6	0.37687	1.2125	0.96552	0.99861	0.22533	0.57496	0.24124	0.75254	0.91939	0.99612	0.45172	1
MGST1	5	0.16171	1.7345	0.37797	0.96351	0.082821	0.5026	0.058879	0.6229	0.83565	0.99612	0.53335	1
MGST2	3	-2.3308	-1.1759	0.21809	0.96351	0.23962	0.58218	1.3993	0.76534	0.72906	0.99612	0.44407	1
MGST3	3	3.4186	0.2136	0.52441	0.96351	0.83086	0.99584	1.364	0.085225	0.74116	0.99612	0.93208	1
MINK1	2	5.8953	0.026036	0.044783	0.89286	0.97923	0.99584	1.4509	0.0064017	0.77474	0.99612	0.99489	1
MINPP1	2	0.20431	1.4142	0.98522	0.99909	0.1573	0.50888	0.0079389	0.054283	0.53292	0.98512	0.95671	1
MKNK1	8	0.29757	1.8303	0.69458	0.99211	0.067211	0.46755	0.046543	0.28293	0.72369	0.99612	0.77723	1
MKNK2	7	0.36105	1.8086	0.92611	0.99483	0.070518	0.48155	0.027947	0.1385	0.34841	0.96571	0.88984	1
MLKL	2	-2.7158	-1.2654	0.1433	0.96351	0.20572	0.57496	0.98892	0.52902	0.94044	0.99767	0.59679	1
MMAA	3	0.53236	1.5032	0.95298	0.99766	0.13278	0.50888	0.14772	0.40799	0.82311	0.99612	0.68328	1
MMAB	4	-2.6575	-3.0168	0.090013	0.96351	0.0025543	0.12963	0.41029	0.52439	0.98701	0.99774	0.60001	1
MMACHC	1	-1.4237	-0.12787	0.92521	0.99483	0.89825	0.99584	2.5052	0.22445	0.58621	0.99092	0.82241	1
MME	5	4.4594	0.12108	0.1451	0.96351	0.90363	0.99584	0.88386	0.023763	0.78863	0.99612	0.98104	1
MMP10	2	-2.4159	-1.4335	0.30094	0.96351	0.15172	0.50888	0.33469	0.22805	0.80699	0.99612	0.81961	1
MMP11	2	4.1065	0.11939	0.43932	0.96351	0.90496	0.99584	1.873	0.054457	0.63054	0.99612	0.95657	1
MMP12	3	0.19173	1.427	0.76534	0.99211	0.15358	0.50888	2.6383e-05	0.00019384	0.29512	0.96571	0.99985	1
MMP13	2	2.8262	0.26987	0.71787	0.99211	0.78726	0.99584	-0.35428	-0.032128	0.35558	0.96571	0.97437	1
MMP16	3	-1.9193	-0.53345	0.3614	0.96351	0.59372	0.99584	1.874	0.5552	0.50425	0.98512	0.57875	1
MMP17	3	0.13006	1.4767	0.56561	0.96877	0.13976	0.50888	0.007776	0.087047	0.39409	0.9681	0.93063	1
MMP19	3	-2.3394	-0.86319	0.21406	0.96351	0.38803	0.86908	1.7489	0.69018	0.56785	0.98776	0.49008	1
MMP1	2	4.6847	0.053616	0.29825	0.96351	0.95724	0.99584	3.3719	0.038596	0.059113	0.96571	0.96921	1
MMP20	3	0.14583	1.4634	0.64308	0.98316	0.14337	0.50888	0.014369	0.14221	0.47022	0.97525	0.88692	1
MMP21	2	5.3621	0.04395	0.12629	0.96351	0.96494	0.99584	-3.3203	-0.027222	0.29422	0.96571	0.97828	1
MMP24	4	0.28504	2.1095	0.80654	0.99211	0.0349	0.44273	0.012727	0.093113	0.33408	0.96571	0.92581	1
MMP25	2	5.8157	0.02942	0.054187	0.90299	0.97653	0.99584	1.1942	0.0060215	0.85714	0.99612	0.9952	1
MMP26	4	0.38365	1.258	0.91984	0.99483	0.20839	0.57496	0.11175	0.35583	0.81908	0.99612	0.72197	1
MMP27	4	-2.0514	-3.3156	0.23242	0.96351	0.0009145	0.088786	-3.4618	-5.5926	0.038961	0.96571	2.237e-08	1.784e-06
MMP28	2	4.3555	0.069094	0.37707	0.96351	0.94491	0.99584	2.648	0.042007	0.29512	0.96571	0.96649	1
MMP3	4	3.2004	0.25568	0.53336	0.96351	0.7982	0.99584	1.0618	0.084726	0.8146	0.99612	0.93248	1
MMP7	4	0.5903	1.5231	0.94536	0.99483	0.12772	0.50888	0.1226	0.30954	0.83609	0.99612	0.75691	1
MMP8	2	-3.0732	-3.1529	0.036722	0.89189	0.0016164	0.11133	-1.1615	-1.18	0.31438	0.96571	0.23801	1
MOCOS	2	4.7247	0.066071	0.29154	0.96351	0.94732	0.99584	2.867	0.040093	0.19884	0.96571	0.96802	1
MOK	3	0.1262	1.4822	0.55038	0.96351	0.13828	0.50888	3.2247e-05	0.0003734	0.30184	0.96571	0.9997	1
MOS	1	-1.9187	-1.5192	0.74698	0.99211	0.1287	0.50888	-3.2646	-2.5725	0.78504	0.99612	0.010097	0.14736
MPRIP	5	0.30142	1.7891	0.824	0.99211	0.073594	0.48296	0.028228	0.16566	0.55889	0.98776	0.86843	1
MR1	2	3.2385	0.19707	0.63278	0.98316	0.84377	0.99584	-3.6742	-0.18935	0.27138	0.96571	0.84982	1
MS4A1	3	0.0015648	0.017347	0.45455	0.96351	0.98616	0.99584	0.13892	1.4667	0.81191	0.99612	0.14246	1
MS4A2	4	-3.3441	-2.2872	0.0076131	0.69231	0.022185	0.39484	-0.71133	-0.65278	0.10524	0.96571	0.5139	1
MSRA	5	3.412	0.24455	0.43036	0.96351	0.80681	0.99584	1.5666	0.11241	0.54411	0.98701	0.9105	1
MST1R	4	0.38159	1.2425	0.91894	0.99483	0.21405	0.57496	0.17879	0.56529	0.9073	0.99612	0.57188	1
MST4	4	1.5425	0.39282	0.86117	0.99483	0.69445	0.99584	1.8493	0.47762	0.45723	0.97525	0.63292	1
MTAP	5	3.4545	0.26752	0.42006	0.96351	0.78907	0.99584	1.5159	0.11741	0.56964	0.98776	0.90653	1
MTFMT	2	0.13703	1.4692	0.88222	0.99483	0.14179	0.50888	0.01332	0.14088	0.56695	0.98776	0.88797	1
MTHFD2	7	0.26779	2.0578	0.60143	0.98101	0.039608	0.45114	0.052992	0.40231	0.86923	0.99612	0.68746	1
MTM1	3	5.54	0.03986	0.038513	0.89189	0.9682	0.99584	1.3643	0.0098098	0.74116	0.99612	0.99217	1
MTMR10	2	-1.6399	-0.51628	0.65383	0.98316	0.60566	0.99584	1.8447	0.59702	0.63815	0.99612	0.55049	1
MTMR11	3	5.0138	0.05964	0.12181	0.96351	0.95244	0.99584	0.96443	0.011408	0.8979	0.99612	0.9909	1
MTMR12	4	5.3978	0.050031	0.028213	0.89189	0.9601	0.99584	2.6397	0.024465	0.13077	0.96571	0.98048	1
MTMR14	3	-2.6116	-1.4621	0.12718	0.96351	0.14373	0.50888	1.2973	0.74154	0.76982	0.99612	0.45837	1
MTMR1	5	1.0571	0.49073	0.8567	0.99483	0.62361	0.99584	1.4298	0.70415	0.60949	0.99612	0.48134	1
MTMR2	5	5.2662	0.073365	0.018361	0.83333	0.94152	0.99584	0.60567	0.0084108	0.8567	0.99612	0.99329	1
MTMR3	2	5.0754	0.054771	0.1957	0.96351	0.95632	0.99584	1.5274	0.01647	0.74966	0.99612	0.98686	1
MTMR4	8	0.24511	1.9405	0.45052	0.96351	0.05232	0.45508	0.059977	0.4689	0.96731	0.99769	0.63914	1
MTMR6	5	3.7131	0.22013	0.35244	0.96351	0.82577	0.99584	0.86346	0.050766	0.7931	0.99612	0.95951	1
MTMR7	4	1.4231	0.45993	0.88177	0.99483	0.64557	0.99584	1.6681	0.55023	0.54456	0.98701	0.58216	1
MTMR8	3	0.37074	1.2381	0.90864	0.99483	0.21568	0.57496	0.12108	0.3929	0.78549	0.99612	0.69439	1
MTMR9	5	1.7016	0.40272	0.71339	0.99211	0.68715	0.99584	2.2755	0.55155	0.20779	0.96571	0.58125	1
MTNR1A	3	3.9149	0.15371	0.39722	0.96351	0.87784	0.99584	1.1319	0.043871	0.83923	0.99612	0.96501	1
MTNR1B	4	2.5511	0.24904	0.62875	0.98316	0.80333	0.99584	2.8234	0.27807	0.075235	0.96571	0.78096	1
MTOR	1	-1.4695	-0.045893	0.9588	0.99861	0.9634	0.99584	3.5118	0.10913	0.13972	0.96571	0.9131	1
MTRR	3	0.48201	1.1534	0.9785	0.99909	0.24874	0.58777	0.23588	0.55099	0.88894	0.99612	0.58164	1
MTR	4	0.22689	1.9618	0.69413	0.99211	0.049789	0.45508	0.010936	0.093391	0.30587	0.96571	0.92559	1
MTTP	4	-2.507	-1.625	0.13032	0.96351	0.10417	0.50888	1.1389	0.8081	0.78683	0.99612	0.41903	1
MUC2	4	5.1203	0.069906	0.05777	0.90909	0.94427	0.99584	3.0838	0.042103	0.030452	0.96571	0.96642	1
MURC	3	1.7025	0.58267	0.90506	0.99483	0.56012	0.99584	0.86154	0.30343	0.93327	0.99767	0.76156	1
MUSK	1	-3.0041	-1.3832	0.067174	0.95031	0.16659	0.51099	1.0947	0.5016	0.93148	0.99767	0.61595	1
MUT	4	-3.0559	-1.8715	0.027318	0.89189	0.061271	0.45606	-0.70203	-0.56144	0.10524	0.96571	0.5745	1
MVK	2	-1.5454	-0.50677	0.67577	0.99211	0.61232	0.99584	1.4021	0.49951	0.78863	0.99612	0.61742	1
MYH14	4	2.1051	0.42396	0.72817	0.99211	0.67159	0.99584	1.5574	0.32019	0.60278	0.99484	0.74883	1
MYH7	7	0.17893	1.4299	0.24765	0.96351	0.15276	0.50888	0.038029	0.29978	0.60636	0.99486	0.76434	1
MYL12A	5	0.23434	1.3907	0.63726	0.98316	0.16433	0.50964	0.014814	0.086819	0.29154	0.96571	0.93082	1
MYL6B	4	0.16601	1.7773	0.51366	0.96351	0.075526	0.48602	0.0096015	0.1014	0.28661	0.96571	0.91923	1
MYLK2	2	-2.0145	-0.30054	0.51366	0.96351	0.76376	0.99584	2.4761	0.37562	0.37125	0.96571	0.7072	1
MYLK3	6	2.7191	0.37437	0.53336	0.96351	0.70813	0.99584	2.3401	0.32393	0.12763	0.96571	0.74599	1
MYLK4	2	-2.989	-1.6623	0.055531	0.90909	0.096462	0.50888	0.70502	0.42747	0.9588	0.99767	0.66904	1
MYLK	7	0.35904	2.4437	0.92163	0.99483	0.014536	0.36885	0.031618	0.21291	0.44604	0.97525	0.8314	1
MYO1D	4	1.6523	0.51695	0.83654	0.99211	0.60519	0.99584	1.232	0.39253	0.75593	0.99612	0.69466	1
MYO3A	3	2.3536	0.35218	0.78728	0.99211	0.72471	0.99584	1.8502	0.28249	0.51724	0.98512	0.77757	1
MYO3B	2	0.1486	1.4612	0.90909	0.99483	0.14396	0.50888	0.0059235	0.05747	0.50425	0.98512	0.95417	1
NADK	5	0.17146	1.4204	0.41335	0.96351	0.15548	0.50888	0.048806	0.39886	0.80251	0.99612	0.68999	1
NADSYN1	4	0.12349	1.4778	0.35244	0.96351	0.13947	0.50888	0.01372	0.16182	0.35199	0.96571	0.87144	1
NAGA	5	0.24718	1.8325	0.67936	0.99211	0.066873	0.46665	0.035529	0.2602	0.68562	0.99612	0.79471	1
NAGK	2	-1.7807	-2.0311	0.60815	0.98265	0.042246	0.45508	-4.315	-4.9229	0.17152	0.96571	8.5264e-07	3.5258e-05
NAGLU	5	0.36301	1.2737	0.91267	0.99483	0.20276	0.5729	0.082738	0.28144	0.86744	0.99612	0.77837	1
NAGPA	4	-2.731	-2.5942	0.073444	0.96351	0.00948	0.28998	0.65682	0.7014	0.94581	0.99767	0.48305	1
NAGS	9	0.32246	2.5279	0.71294	0.99211	0.011475	0.31901	0.057968	0.44929	0.88939	0.99612	0.65323	1
NAPB	2	5.3113	0.036822	0.14017	0.96351	0.97063	0.99584	1.0756	0.0074565	0.90506	0.99612	0.99405	1
NARS2	3	-2.2018	-1.2319	0.26646	0.96351	0.21798	0.57496	0.053165	0.037631	0.68831	0.99612	0.96998	1
NARS	2	5.2534	0.034224	0.15584	0.96351	0.9727	0.99584	2.039	0.013282	0.56068	0.98776	0.9894	1
NCAN	3	0.43892	1.1635	0.97313	0.99908	0.24465	0.58365	0.17297	0.44679	0.85804	0.99612	0.65502	1
NCOA5	4	3.2352	0.25959	0.5253	0.96351	0.79518	0.99584	1.6034	0.12874	0.58218	0.98935	0.89756	1
NDST1	5	3.9485	0.18276	0.2884	0.96351	0.85498	0.99584	2.4879	0.11517	0.12315	0.96571	0.90831	1
NDUFA10	1	5.467	0.023404	0.26467	0.96351	0.98133	0.99584	2.2414	0.0095954	0.72727	0.99612	0.99234	1
NDUFA11	4	0.59831	1.3755	0.94313	0.99483	0.16897	0.51233	0.11861	0.2669	0.82759	0.99612	0.78954	1
NDUFA12	3	0.13364	1.4646	0.58531	0.97766	0.14303	0.50888	0.022679	0.24508	0.5665	0.98776	0.80639	1
NDUFA4L2	3	0.29177	1.3417	0.85535	0.99483	0.17968	0.52983	0.0035377	0.016088	0.34348	0.96571	0.98716	1
NDUFA5	2	0.13259	1.474	0.86296	0.99483	0.14047	0.50888	0.0056425	0.06187	0.50157	0.98512	0.95067	1
NDUFA6	1	-2.7247	-0.51433	0.18182	0.96351	0.60702	0.99584	1.8376	0.346	0.89655	0.99612	0.72934	1
NDUFA7	1	-3.0893	-2.2977	0.053739	0.90299	0.02158	0.39484	-4.044	-2.9887	0.52709	0.98512	0.0028015	0.046684
NDUFA8	1	-2.0497	-1.5742	0.65562	0.98453	0.11544	0.50888	-4.7429	-3.6593	0.19615	0.96571	0.00025289	0.0058822
NDUFAB1	1	-0.8832	-0.80354	0.76892	0.99211	0.42166	0.9341	-2.9127	-2.6499	0.84236	0.99612	0.0080506	0.12113
NDUFB1	1	-0.68205	-0.015754	0.74205	0.99211	0.98743	0.99584	3.803	0.087664	0.080609	0.96571	0.93014	1
NDUFB3	1	-2.0904	-0.16298	0.61666	0.98297	0.87053	0.99584	2.6382	0.20468	0.51097	0.98512	0.83782	1
NDUFB4	3	-2.3218	-3.2232	0.21988	0.96351	0.0012675	0.11133	-3.9516	-5.4827	0.089566	0.96571	4.1895e-08	2.9235e-06
NDUFB5	2	3.6464	0.12952	0.53874	0.96351	0.89695	0.99584	-4.3657	-0.13837	0.15853	0.96571	0.88995	1
NDUFB6	1	5.5206	0.022416	0.24989	0.96351	0.98212	0.99584	-4.392	-0.018004	0.35513	0.96571	0.98564	1
NDUFB9	1	5.2877	0.027117	0.31034	0.96351	0.97837	0.99584	-4.3408	-0.022316	0.37125	0.96571	0.9822	1
NDUFC1	4	0.31781	1.3042	0.84998	0.99372	0.19217	0.55441	0.10282	0.40859	0.80564	0.99612	0.68284	1
NDUFC2	1	-2.1126	-0.044407	0.59203	0.97801	0.96458	0.99584	3.8977	0.081526	0.068966	0.96571	0.93502	1
NDUFS2	2	2.628	0.27233	0.75325	0.99211	0.78537	0.99584	-5.1668	-0.46727	0.012091	0.92063	0.64031	1
NDUFS3	3	0.49133	1.1748	0.96462	0.99861	0.24009	0.58218	0.071527	0.1669	0.71966	0.99612	0.86745	1
NDUFS4	5	0.98575	0.62111	0.8661	0.99483	0.53453	0.99584	0.8854	0.59335	0.78818	0.99612	0.55295	1
NDUFS5	4	0.3548	1.2717	0.89073	0.99483	0.20347	0.5729	0.12775	0.44413	0.84326	0.99612	0.65695	1
NDUFS6	2	4.03	0.091965	0.45544	0.96351	0.92673	0.99584	1.7383	0.039663	0.67846	0.99612	0.96836	1
NDUFS8	3	-2.3649	-1.5906	0.20197	0.96351	0.1117	0.50888	0.52892	0.42154	0.98701	0.99774	0.67336	1
NDUFV1	6	0.25738	1.9094	0.64442	0.98316	0.056212	0.45508	0.048888	0.35828	0.82669	0.99612	0.72014	1
NDUFV3	5	0.24959	1.3749	0.68966	0.99211	0.16916	0.51233	0.043526	0.23685	0.77026	0.99612	0.81277	1
NEDD8-MDP1	2	2.6631	0.26263	0.74787	0.99211	0.79284	0.99584	-5.0541	-0.43729	0.023735	0.92063	0.6619	1
NEK10	4	3.8043	0.17885	0.38021	0.96351	0.85805	0.99584	1.6171	0.075736	0.57367	0.98776	0.93963	1
NEK11	4	0.2523	1.3757	0.75593	0.99211	0.16892	0.51233	0.013982	0.075323	0.35692	0.96571	0.93996	1
NEK1	2	5.7579	0.031903	0.064487	0.92903	0.97455	0.99584	-3.4005	-0.018847	0.29109	0.96571	0.98496	1
NEK2	4	3.2771	0.22213	0.51411	0.96351	0.82422	0.99584	1.7541	0.1189	0.5056	0.98512	0.90535	1
NEK3	2	5.0268	0.057576	0.2069	0.96351	0.95409	0.99584	2.5711	0.029448	0.32736	0.96571	0.97651	1
NEK4	4	2.2772	0.56567	0.68339	0.99211	0.57162	0.99584	0.70815	0.17798	0.93372	0.99767	0.85874	1
NEK5	3	0.13628	1.4721	0.60412	0.9818	0.14099	0.50888	0.00751	0.079997	0.39006	0.96571	0.93624	1
NEK6	3	5.1131	0.067179	0.10524	0.96351	0.94644	0.99584	2.6379	0.034648	0.17286	0.96571	0.97236	1
NEK7	3	2.5197	0.28902	0.73981	0.99211	0.77256	0.99584	2.1406	0.24973	0.38468	0.96571	0.8028	1
NEK8	2	-1.9058	-2.5008	0.56202	0.96762	0.012392	0.33338	-4.2208	-5.5428	0.18764	0.96571	2.9765e-08	2.2919e-06
NEK9	4	1.7322	0.18716	0.81908	0.99211	0.85153	0.99584	3.0654	0.34316	0.033139	0.96571	0.73148	1
NEU1	2	-2.2281	-1.3838	0.40528	0.96351	0.16643	0.51099	0.74402	0.48369	0.97268	0.99774	0.62861	1
NEU2	2	-2.723	-1.6237	0.13883	0.96351	0.10443	0.50888	0.7566	0.49294	0.97895	0.99774	0.62206	1
NFS1	1	-2.5768	-1.9482	0.27586	0.96351	0.051388	0.45508	-3.926	-2.954	0.58218	0.98935	0.0031366	0.051422
NGB	5	-2.3457	-1.1434	0.10076	0.96351	0.25288	0.59336	1.7103	0.9583	0.48142	0.97641	0.33791	1
NGF	3	-2.1987	-1.2069	0.26646	0.96351	0.22748	0.57658	0.23557	0.15981	0.88849	0.99612	0.87303	1
NID1	3	4.8331	0.073014	0.15898	0.96351	0.9418	0.99584	0.80811	0.012162	0.95029	0.99767	0.9903	1
NIM1	5	0.19814	1.9011	0.50649	0.96351	0.057286	0.45508	0.031429	0.29762	0.61845	0.99612	0.76599	1
NISCH	4	0.17842	1.4318	0.54635	0.96351	0.1522	0.50888	0.033954	0.26887	0.64801	0.99612	0.78803	1
NLK	2	-1.9493	-0.56274	0.53874	0.96351	0.57361	0.99584	0.78801	0.27423	0.99283	0.9991	0.78391	1
NME1	5	3.6352	0.26147	0.37394	0.96351	0.79373	0.99584	1.7633	0.12702	0.45365	0.97525	0.89892	1
NME2	2	0.22941	0.05707	0.99328	0.99955	0.95449	0.99584	1.4654	0.40269	0.77206	0.99612	0.68718	1
NME3	3	3.0518	0.21977	0.60502	0.98255	0.82605	0.99584	0.27956	0.019845	0.90013	0.99612	0.98417	1
NME4	2	0.44263	1.2165	0.92476	0.99483	0.22379	0.57496	0.038966	0.10452	0.64263	0.99612	0.91676	1
NME5	1	5.2385	0.027825	0.32333	0.96351	0.9778	0.99584	3.5074	0.01863	0.14017	0.96571	0.98514	1
NME6	3	3.4604	0.22456	0.51679	0.96351	0.82232	0.99584	2.1037	0.13756	0.4017	0.97289	0.89059	1
NME7	4	2.2275	0.39819	0.69324	0.99211	0.69049	0.99584	1.9153	0.3519	0.42275	0.97525	0.72491	1
NMNAT1	2	-2.5417	-3.0213	0.22929	0.96351	0.0025173	0.12963	-4.172	-4.955	0.19704	0.96571	7.2339e-07	3.1064e-05
NMNAT3	4	4.0877	0.13239	0.29736	0.96351	0.89467	0.99584	2.9539	0.095741	0.048813	0.96571	0.92373	1
NMRAL1	2	-2.7964	-3.3734	0.11554	0.96351	0.00074236	0.078075	-4.6984	-5.667	0.077474	0.96571	1.4532e-08	1.2019e-06
