sgRNA	Gene	Diff	Lower	Upper
ACVR2B_+_38495450.23-P1P2	ACVR2B	4679	3	1865
ACVR2B_+_38495606.23-P1P2	ACVR2B	3340	4932	1705
ACVR2B_+_38495842.23-P1P2	ACVR2B	1084	5051	3676
ACVRL1_+_52300819.23-P1P2	ACVRL1	1546	2	3
ACY1_+_52017535.23-P1P2	ACY1	908	0	1737
ACY1_+_52017980.23-P1P2	ACY1	4159	3979	2403
ACY1_-_52017547.23-P1P2	ACY1	2882	9035	6
ACY3_+_67414985.23-P2	ACY3	3077	0	0
ACY3_+_67415013.23-P2	ACY3	1116	0	1
ACY3_+_67417960.23-P1	ACY3	2879	4672	1303
ACY3_+_67418110.23-P1	ACY3	1603	3876	6583
ACY3_-_67414577.23-P2	ACY3	1561	2199	3132
ACY3_-_67418149.23-P1	ACY3	1375	2	1474
ACYP2_+_54342830.23-P1P2	ACYP2	476	4	1
ACYP2_-_54343157.23-P1P2	ACYP2	3556	3	3089
ACYP2_-_54343180.23-P1P2	ACYP2	2467	4	2021
ADAM33_+_3662271.23-P1P2	ADAM33	2326	2	1
ADAM33_+_3662642.23-P1P2	ADAM33	5239	4	2
ADAM33_-_3662191.23-P1P2	ADAM33	1644	1	1
ADAM33_-_3662638.23-P1P2	ADAM33	6402	4	4
ADAMTS5_+_28339356.23-P1P2	ADAMTS5	840	5114	1607
ADAMTS5_+_28339363.23-P1P2	ADAMTS5	2392	2	2
ADAMTS5_-_28338950.23-P1P2	ADAMTS5	746	5035	0
ADAMTS5_-_28339372.23-P1P2	ADAMTS5	3408	7	3316
ADCK1_+_78266506.23-P1P2	ADCK1	2800	5949	3
ADCK1_-_78266512.23-P1P2	ADCK1	672	1	1922
ADCK1_-_78266523.23-P1P2	ADCK1	1664	1	3
ADCK1_-_78266828.23-P1P2	ADCK1	2675	2982	2
ADCK1_-_78266900.23-P1P2	ADCK1	2275	5641	2
ADCK2_+_140372748.23-P1P2	ADCK2	929	0	1
ADCK2_+_140373084.23-P1P2	ADCK2	1364	2	3820
ADCK2_+_140373152.23-P1P2	ADCK2	4378	5268	2108
ADCK2_-_140373160.23-P1P2	ADCK2	3011	1	1
ADCK3_+_227128400.23-P1P2	ADCK3	2347	3490	3348
ADCK3_-_227128046.23-P1P2	ADCK3	2888	2800	1476
ADCK3_-_227128055.23-P1P2	ADCK3	2951	4	4627
ADCK4_+_41222752.23-P1P2	ADCK4	1590	1	0
ADCK4_-_41222351.23-P1P2	ADCK4	1777	1	0
ADCK4_-_41222791.23-P1P2	ADCK4	2553	2	5354
ADCK5_-_145597191.23-P1P2	ADCK5	647	0	0
ADCK5_-_145597250.23-P1P2	ADCK5	802	1	0
ADCK5_-_145597781.23-P1P2	ADCK5	2581	1275	1710
ADC_+_33546832.23-P1P2	ADC	3646	3	3
ADC_+_33546850.23-P1P2	ADC	1728	5264	1
ADC_-_33546826.23-P1P2	ADC	2178	3119	4
ADH1C_+_100273655.23-P1P2	ADH1C	1906	2354	438
ADH1C_-_100273879.23-P1P2	ADH1C	3067	2	2906
ADH1C_-_100273923.23-P1P2	ADH1C	4674	6	2090
ADH4_+_100065433.23-P1P2	ADH4	1424	1	1
ADH4_+_100065444.23-P1P2	ADH4	1122	5250	5
ADH5_+_100009821.23-P1P2	ADH5	1364	1	1785
ADH5_+_100009838.23-P1P2	ADH5	1665	0	0
ADK_+_75911444.23-P2	ADK	1361	1	1798
ADK_+_75936517.23-P1	ADK	2605	6	2224
ADK_+_75936538.23-P1	ADK	4334	0	2
ADK_+_75936570.23-P1	ADK	2105	4419	1535
ADK_-_75911437.23-P2	ADK	717	1	2
ADORA1_+_203096891.23-P1P2	ADORA1	4421	1	7
