Gene	sgRNA	eff
ADORA3	ADORA3_+_112031386.23-P1	1
ADORA3	ADORA3_+_112031411.23-P1	1
ADORA3	ADORA3_+_112031418.23-P1	1
ADORA3	ADORA3_+_112046055.23-P2	1
ADORA3	ADORA3_+_112046115.23-P2	1
ADRA1A	ADRA1A_+_26724406.23-P1P2	1
ADRA1A	ADRA1A_-_26724311.23-P1P2	1
ADRA1A	ADRA1A_-_26724340.23-P1P2	1
ADRA1A	ADRA1A_-_26724356.23-P1P2	1
ADRA1B	ADRA1B_+_159343520.23-P1P2	1
ADRA1B	ADRA1B_+_159344209.23-P1P2	1
ADRA1B	ADRA1B_-_159343504.23-P1P2	1
ADRA1B	ADRA1B_-_159343900.23-P1P2	1
ADRA1D	ADRA1D_+_4229485.23-P1P2	1
ADRA1D	ADRA1D_-_4229250.23-P1P2	1
ADRA1D	ADRA1D_-_4229495.23-P1P2	1
ADRA1D	ADRA1D_-_4229926.23-P1P2	1
ADRA2A	ADRA2A_-_112837142.23-P1P2	1
ADRA2A	ADRA2A_-_112837201.23-P1P2	1
ADRA2A	ADRA2A_-_112837238.23-P1P2	1
ADRA2A	ADRA2A_-_112837251.23-P1P2	1
ADRA2B	ADRA2B_+_96781839.23-P1P2	1
ADRA2B	ADRA2B_-_96782246.23-P1P2	1
ADRA2C	ADRA2C_+_3768074.23-P1P2	1
ADRA2C	ADRA2C_+_3768082.23-P1P2	1
ADRA2C	ADRA2C_+_3768098.23-P1P2	1
ADRA2C	ADRA2C_-_3767888.23-P1P2	1
ADRB1	ADRB1_-_115803895.23-P1P2	1
ADRB1	ADRB1_-_115804061.23-P1P2	1
ADRB1	ADRB1_-_115804069.23-P1P2	1
ADRB1	ADRB1_-_115804075.23-P1P2	1
ADRB2	ADRB2_+_148206220.23-P1P2	1
ADRB2	ADRB2_+_148206227.23-P1P2	1
ADRB2	ADRB2_-_148206186.23-P1P2	1
ADRB2	ADRB2_-_148206207.23-P1P2	1
ADRB2	ADRB2_-_148206413.23-P1P2	1
