	differentiation	lower	upper	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1
sgId				
ABAT_+_8807445.23-P2	-0.874392087107114	9.21717565041461	2.2885165812614523	-6.7703434708795776
ABAT_+_8807450.23-P2	1.765904614274874	-3.01556067717425	-10.685189685783323	
ABAT_+_8807464.23-P2	0.6309857767968258	-3.201264887840974	-11.455856397171203	
ABAT_+_8807492.23-P2	-8.38793579640048			
ABAT_+_8807696.23-P2	1.4594550121575316	-1.1695319769830785	1.3299288812156158	2.657776456472277
ABAT_-_8768504.23-P1	0.38360972557551876	-2.2344317517761745	-0.44529067559563845	1.9481182083018052
ABAT_-_8768523.23-P1	-0.7172733010783288	9.548135781508433	2.8844967230586684	-6.505323460176184
ABAT_-_8768533.23-P1	0.08280009821076467	-1.5622708091531479	1.5565826684165014	3.2765891490559405
ABCC2_+_101542515.23-P1P2	-5.3733696832658175	18.789528979159133		-19.121646212246624
ABCC2_+_101542910.23-P1P2	-9.727932184049159			
ABCC2_+_101542914.23-P1P2	-8.102595335421887			
ABCC2_+_101542981.23-P1P2	10.61165689118995	-0.13871885513274052	0.5887325050629073	0.8857669584692296
ABCC2_-_101542808.23-P1P2	-6.806920480195989			
ABCC8_+_17497953.23-P1P2	-0.9045577872627775	11.574030569442213	-6.522754118418953	-17.938469089587585
ABCC8_+_17498387.23-P1P2	0.8912492147214798	-0.6007055320687993	0.0645594455126556	0.8235805758550381
ABCC8_-_17497979.23-P1P2	-1.2801371427829296	0.5644863331327912	1.9867334302767141	1.5805626954175054
ABCC8_-_17497997.23-P1P2	1.5394249301318772	-0.9569405107380309	-0.830443285231895	0.28742838141740457
ABCC8_-_17498220.23-P1P2	-9.496402968140588			
ABCC9_+_22093672.23-P1P2	-0.22556740318168889	0.48710380182042634	1.397921812810016	1.0691336092631722
ABCC9_+_22093678.23-P1P2	-7.166201989565721	17.9261303136203	9.871510942374167	-7.896303772972547
ABCC9_+_22093937.23-P1P2	-9.63773437507758			
ABCC9_+_22093941.23-P1P2	1.134300759269965	-0.5154519030833296	-0.026892018301059806	0.6468754830558527
ABCC9_+_22094309.23-P1P2	-8.634406357359826			
ABCE1_+_146019317.23-P1P2	-6.853463066133019			
ABCE1_+_146019463.23-P1P2	10.303725947381833	-1.4169935788964114	-9.67158508822664	
ABCE1_+_146019842.23-P1P2	0.5730025790575874	-0.06873133619558658	2.6976570933783957	2.9247040278475644
ABCE1_-_146019502.23-P1P2				
ABCE1_-_146019516.23-P1P2				
ABCG1_+_43639544.23-P1P2	2.9153691365367544	-1.6148586091250277	0.8344534549894058	2.6076276623880155
ABCG1_+_43639681.23-P1P2	-6.746547862216507			
ABCG1_-_43639282.23-P1P2	0.7505952198193174	7.757690501065724	0.7517707378707913	-6.847604164921351
ABCG1_-_43639541.23-P1P2	0.9851412955688406	8.744214336305753	0.5003250163340764	-8.085573721698093
ABCG1_-_43639626.23-P1P2	-7.8037332088077145	17.380566143430535	8.708106655120348	-8.514143890036607
ABL1_+_133589617.23-ENST00000372348.2	0.32903060881234936	-0.8940528047826408	-9.146857694638856	
ABL1_+_133589629.23-ENST00000372348.2	-7.346503077413136	18.470654696030344		-20.387734429838993
ABL1_+_133589636.23-ENST00000372348.2	0.8811092526374804	-1.7885104195451174	0.6223061915662084	2.569060006128529
ABL1_-_133589228.23-ENST00000372348.2	-0.19234926211896558	10.318351634733435	-8.226834762679365	-18.386870799139217
ABL1_-_133589268.23-ENST00000372348.2	0.7326799731558504	10.554014910792443	-8.29241057596423	-18.68810988848309
ABL2_+_179112168.23-P1	-0.06144381639659069	7.398326426384149	-10.059338985863159	-17.30084705530585
ABL2_+_179112186.23-P1	-7.49089298674831			
ABL2_+_179198340.23-P2	1.145063259502598	-1.3014818435249982	-1.240169045595636	0.2196283962029444
ABL2_+_179198398.23-P2	-0.03294200458826274	-1.5487242773152001	1.0616441284971698	2.7686840040859515
ABL2_+_179198565.23-P2	1.2491744947743686	-1.7999908120165777	1.6005011238511722	3.55880753414133
ABL2_+_179198740.23-P2	0.13451145816313448	-0.05389084488468576	-7.893444854936071	
ABL2_-_179112151.23-P1	-8.420181592767642		8.729945496334153	1.1241024166385802
ABL2_-_179112154.23-P1	-6.952998739683934			
ABL2_-_179112158.23-P1	1.4539137412179624	-1.8742772360213173	0.8289588154821972	2.8615516497770965
ABL2_-_179198834.23-P2	0.5914413187399612	-2.0407789940827534	0.2714901856266992	2.4707294591903857
ABO_+_136150190.23-P1	1.1158571403984214	9.361703863810593	0.731959589975373	-8.471428675561638
ABO_+_136150601.23-P1	-0.8988003195963037	11.385634390553092	2.943164330679363	-8.284154461600147
ABO_-_136130692.23-P2	1.3058616917258237	9.398599777419962	-1.025632318360848	-10.265916497507227
ABO_-_136130921.23-P2	0.0689045120650641	-0.7817710911163136	0.8810094790302991	1.821096168420194
ABO_-_136130955.23-P2	2.8731661759889366	-0.25820913505929965	-10.098687653338983	
ABO_-_136130959.23-P2	-9.002887615476292		11.115046686700595	2.5092036070050217
ABO_-_136130966.23-P2	-10.03479283084758		11.471016863037121	1.2802112826203924
ABO_-_136150219.23-P1	-9.936879074320656		7.475351453301013	-1.1304916263945612
ABO_-_136150600.23-P1	-1.4558578119944958	10.840817876836637	2.475745501542189	-8.206756777020866
ABO_-_136150606.23-P1	-0.3547919276199448	-1.8018953602019376	-0.04291037085632843	1.9177445592582867
ACACA_+_35715534.23-P1P2	2.626029004718757	9.267752152298502	-9.609806301822237	-18.719242855847156
ACACA_+_35715655.23-P1P2	-7.548608484604598			
ACACA_-_35715847.23-P1P2				
ACACA_-_35715992.23-P1P2				
ACACA_-_35716002.23-P1P2				
ACACB_+_109569160.23-P1	-6.666260073258871	17.00495001013111		-17.92202974393976
ACACB_+_109569170.23-P1	1.4403962284162408	-2.182991192104687	-1.4161399894582887	0.92516680091998
ACACB_+_109592574.23-P2	-0.6533366294982217	-1.6065287288380627	-8.276157737447136	
