	Diff	Lower	T0	Upper
CSF1R_+_149466064.23-P1P2	8	7447	1315	1807
CSF1R_+_149466139.23-P1P2	2	2	334	1943
CSF1R_-_149465687.23-P1P2	2	2	1138	0
CSF1R_-_149465864.23-P1P2	936	0	607	1
CSF1R_-_149466077.23-P1P2	0	0	825	0
CSF2RA_+_1387764.23-P1P2	1771	1	500	2
CSF2RA_-_1387717.23-P1P2	1420	0	750	1
CSF2RA_-_1387742.23-P1P2	0	0	0	0
CSF2RA_-_1387770.23-P1P2	4718	2406	3375	436
CSF2RA_-_1388200.23-P1P2	0	0	209	0
CSF2RB_+_37309709.23-P1P2	2885	0	315	0
CSF2RB_+_37310056.23-P1P2	232	0	783	2
CSF2RB_-_37309724.23-P1P2	0	0	0	0
CSF2RB_-_37309900.23-P1P2	2508	7	1233	1939
CSF2RB_-_37309916.23-P1P2	1450	2	1084	1654
CSK_+_75074460.23-P1P2	1873	6689	1671	1815
CSK_+_75074463.23-P1P2	4159	5	2449	1304
CSK_+_75074484.23-P1P2	605	4042	1322	1320
CSK_+_75074850.23-P1P2	8	3118	2083	1960
CSK_+_75074929.23-P1P2	4516	3	756	4473
CSNK1A1L_+_37678717.23-P1P2	1115	0	629	0
CSNK1A1L_+_37679620.23-P1P2	886	3853	1129	1436
CSNK1A1L_+_37679715.23-P1P2	4433	9808	2436	4
CSNK1A1L_-_37679672.23-P1P2	1086	4934	3038	1446
CSNK1A1L_-_37679730.23-P1P2	1486	1	2784	1279
CSNK1A1_+_148930876.23-P1P2	0	0	84	0
CSNK1A1_+_148930955.23-P1P2	0	0	0	0
CSNK1A1_+_148930963.23-P1P2	0	0	0	0
CSNK1A1_+_148930972.23-P1P2	2600	4054	987	1
CSNK1A1_-_148930574.23-P1P2	0	0	174	0
CSNK1D_+_80230863.23-P1P2	2453	0	1186	1803
CSNK1D_+_80230869.23-P1P2	0	0	916	0
CSNK1D_+_80231240.23-P1P2	2	2	623	3661
CSNK1D_+_80231268.23-P1P2	2	1	692	0
CSNK1D_-_80230878.23-P1P2	3872	4	2199	1819
CSNK1E_+_38712980.23-P1P2	3135	1	492	0
CSNK1E_+_38712985.23-P1P2	8	2605	1914	3346
CSNK1E_+_38713028.23-P1P2	1435	2743	2042	3
CSNK1E_+_38713240.23-P1P2	1623	4	2288	3928
CSNK1E_-_38712904.23-P1P2	1	2	1920	0
CSNK1G1_+_64647962.23-P1P2	3627	2	1306	1
CSNK1G1_+_64648259.23-P1P2	4499	5	1865	8102
CSNK1G1_-_64647905.23-P1P2	0	0	683	0
CSNK1G1_-_64647926.23-P1P2	3151	4536	3611	2
CSNK1G1_-_64648302.23-P1P2	0	0	749	0
CSNK1G2_+_1941499.23-P1P2	1549	1	1318	0
CSNK1G2_+_1941562.23-P1P2	847	2	1542	1488
CSNK1G2_+_1941626.23-P1P2	911	4711	2255	1692
CSNK1G2_-_1941178.23-P1P2	2787	4100	1967	1249
CSNK1G2_-_1941181.23-P1P2	2158	5	2090	3063
CSNK1G3_+_122848340.23-P1P2	4	0	2166	3515
CSNK1G3_-_122847913.23-P1P2	2	3	607	1921
CSNK1G3_-_122847968.23-P1P2	1232	2	1342	2064
CSNK1G3_-_122847980.23-P1P2	0	313	1283	622
CSNK1G3_-_122848041.23-P1P2	0	0	982	0
CSNK2A1_+_524079.23-P1P2	1503	1348	336	3
CSNK2A1_+_524305.23-P1P2	1710	1	327	1
CSNK2A1_-_524311.23-P1P2	1454	2	3503	2
CSNK2A1_-_524386.23-P1P2	0	1955	1068	2
CSNK2A1_-_524399.23-P1P2	3	5217	471	3
CSNK2A2_+_58231580.23-P1P2	1	0	527	1981
CSNK2A2_-_58231975.23-P1P2	1536	2	1907	2
CSNK2A2_-_58232002.23-P1P2	2694	1	2338	3336
CSNK2A2_-_58232005.23-P1P2	1438	9333	1931	3498
CSNK2A2_-_58232041.23-P1P2	1101	0	663	0
CSNK2B_+_31633873.23-P1P2	1236	1	1764	3
CSNK2B_+_31633923.23-P1P2	1753	1	558	2
CSNK2B_-_31634048.23-P1P2	0	0	1091	0
CSNK2B_-_31634088.23-P1P2	1327	0	896	1
CSNK2B_-_31634099.23-P1P2	1639	6676	3660	1772
CS_+_56693610.23-P1P2	1700	2	674	1628
CS_+_56693700.23-P1P2	2	2	1184	1841
CS_+_56693703.23-P1P2	1621	2196	2323	2090
CS_+_56693904.23-P1P2	1505	3	273	2
CS_-_56694134.23-P1P2	0	0	198	0
CTDNEP1_+_7155258.23-P1P2	1570	3034	563	1025
CTDNEP1_-_7154864.23-P1P2	1	1	868	75
CTDNEP1_-_7155050.23-P1P2	2011	4	2131	1356
CTDNEP1_-_7155071.23-P1P2	2666	3	792	2
CTDNEP1_-_7155271.23-P1P2	1126	4	1629	3
CTDP1_+_77439863.23-P1P2	1527	0	430	1
CTDP1_+_77439877.23-P1P2	627	3012	1478	4
CTDP1_-_77439825.23-P1P2	2882	0	805	1
CTDP1_-_77439836.23-P1P2	2337	0	1172	3312
CTDP1_-_77439882.23-P1P2	581	0	2070	1
CTDSP1_+_219264658.23-P1P2	1154	0	1246	1
CTDSP1_+_219264661.23-P1P2	2	0	434	1569
CTDSP1_+_219264682.23-P1P2	3451	3106	3204	1024
CTDSP1_+_219264983.23-P1P2	0	3	1560	0
CTDSP1_-_219265044.23-P1P2	10	10517	1091	1487
CTDSP2_+_58240147.23-P1P2	0	0	571	0
CTDSP2_+_58240445.23-P1P2	3131	4915	3007	3315
CTDSP2_+_58240467.23-P1P2	1284	0	488	3
CTDSP2_+_58240671.23-P1P2	3	3608	141	2
CTDSP2_-_58240085.23-P1P2	1259	3	2371	1546
CTDSPL_+_37903425.23-P1P2	3	1	1922	1457
CTDSPL_+_37903820.23-P1P2	758	1886	1386	3091
CTDSPL_-_37903405.23-P1P2	4296	5305	1579	6116
CTDSPL_-_37903769.23-P1P2	3321	8800	1881	3034
CTDSPL_-_37903774.23-P1P2	2321	3	2075	4852
CTH_+_70876932.23-P1P2	1	3	2474	0
CTH_+_70876951.23-P1P2	1305	0	765	1
CTH_+_70876980.23-P1P2	2825	1	439	2
CTH_+_70876996.23-P1P2	0	0	353	0
CTH_-_70877335.23-P1P2	2994	0	1757	2
CTLA4_+_204732673.23-P1P2	3	0	708	0
CTLA4_-_204732544.23-P1P2	1711	1	1135	1415
CTLA4_-_204732923.23-P1P2	0	0	1177	1
CTLA4_-_204732957.23-P1P2	1580	2399	1732	1055
CTLA4_-_204733000.23-P1P2	0	1	747	0
CTNS_-_3540051.23-P1P2	1235	4	2081	1895
CTNS_-_3540066.23-P1P2	1444	3822	1138	1262
CTNS_-_3540097.23-P1P2	2659	4964	2299	4
CTNS_-_3540100.23-P1P2	718	0	745	0
CTNS_-_3540452.23-P1P2	588	2411	3096	0
CTRB1_+_75252936.23-P1P2	546	5	1335	1475
CTRB1_+_75252951.23-P1P2	1	0	60	1820
CTRB1_+_75252970.23-P1P2	1	1	1614	1
CTRB1_+_75253108.23-P1P2	2877	0	783	2
CTRB1_-_75252897.23-P1P2	3	0	673	1641
CTSF_+_66335640.23-P1P2	0	1562	699	0
CTSF_+_66335996.23-P1P2	2541	0	643	0
CTSF_+_66335999.23-P1P2	2607	3089	1390	3356
CTSF_+_66336004.23-P1P2	4232	2	1282	4604
CTSF_-_66336011.23-P1P2	677	8202	1600	3792
CTSG_+_25045383.23-P1P2	3025	0	1074	2
CTSG_+_25045445.23-P1P2	1306	5178	1046	5
CTSG_-_25045032.23-P1P2	485	0	672	0
CTSG_-_25045355.23-P1P2	1300	7027	1710	1359
CTSG_-_25045396.23-P1P2	2623	6163	1648	1898
CTSH_+_79237133.23-P1P2	0	0	0	0
CTSH_+_79237182.23-P1P2	0	0	86	0
CTSH_+_79237358.23-P1P2	778	4927	2345	954
CTSH_-_79237212.23-P1P2	1225	2250	1408	1
CTSH_-_79237366.23-P1P2	4	0	1755	2
CTSK_+_150780359.23-P1P2	0	0	231	0
CTSK_-_150780713.23-P1P2	1439	5121	799	2
CTSK_-_150780724.23-P1P2	2688	4757	1083	1693
CTSK_-_150780752.23-P1P2	3	2	731	1840
CTSK_-_150780800.23-P1P2	0	0	490	0
CTSL_+_90341065.23-P1	2497	2652	1839	3
CTSL_+_90341431.23-P1	2380	1	849	1641
CTSL_+_90342816.23-P2	584	2	1504	1
CTSL_+_90342836.23-P2	2905	3964	2004	3
CTSL_-_90341061.23-P1	4017	5511	1141	882
CTSL_-_90341070.23-P1	5208	5197	2510	5604
CTSL_-_90341450.23-P1	3048	1022	1969	3
CTSL_-_90342596.23-P2	1316	1	60	1464
CTSL_-_90342644.23-P2	0	0	566	0
CTSL_-_90342824.23-P2	0	0	131	0
CTSS_+_150738182.23-P1P2	4957	4	1434	2031
CTSS_+_150738194.23-P1P2	0	0	0	0
CTSS_+_150738208.23-P1P2	0	0	343	0
CTSS_-_150737888.23-P1P2	1237	2697	156	1380
CTSS_-_150738222.23-P1P2	2	1504	497	1
CTSV_+_99801008.23-P1P2	11	8601	2063	5
CTSV_+_99801205.23-P1P2	3338	2	107	2
CTSV_+_99801412.23-P1P2	5	2588	1554	272
CTSV_-_99800937.23-P1P2	2834	2	1549	2
CTSV_-_99801856.23-P1P2	6376	3167	972	1887
CUBN_+_17171371.23-P1P2	0	0	452	0
CUBN_+_17171560.23-P1P2	0	1	389	0
CUBN_+_17171795.23-P1P2	1710	1	1361	0
CUBN_+_17171800.23-P1P2	5	2	344	2550
CUBN_-_17171723.23-P1P2	0	0	160	0
CUTA_+_33385267.23-P1P2	4	4	2536	3814
CUTA_+_33385646.23-P1P2	7	4557	2632	795
CUTA_+_33385660.23-P1P2	2401	2	1169	0
CUTA_-_33385272.23-P1P2	1198	1	454	0
CUTA_-_33385302.23-P1P2	2	2	251	1872
CXCL10_-_76944225.23-P1P2	3808	0	791	4
CXCL10_-_76944230.23-P1P2	2956	5	296	4
CXCL10_-_76944597.23-P1P2	3155	3	961	2
CXCL10_-_76944615.23-P1P2	4842	5468	1615	2152
CXCL10_-_76944661.23-P1P2	1753	1	382	0
CXCR1_+_219031625.23-P1P2	8636	3	3026	2
CXCR1_+_219031652.23-P1P2	3	0	884	1190
CXCR1_-_219031618.23-P1P2	1744	2	783	0
CXCR1_-_219031621.23-P1P2	5	5227	960	2
CXCR1_-_219031662.23-P1P2	1610	1	668	1770
CYB5A_+_71959106.23-P1P2	0	0	612	1533
CYB5A_+_71959187.23-P1P2	1640	1	1045	1
CYB5A_-_71958867.23-P1P2	4345	2	1907	0
CYB5A_-_71959191.23-P1P2	2	3	1726	4004
CYB5A_-_71959222.23-P1P2	3262	6211	1646	1335
CYB5B_-_69458558.23-P1P2	0	0	92	0
CYB5B_-_69458581.23-P1P2	2204	2	1129	2847
CYB5B_-_69458593.23-P1P2	1627	0	928	1
CYB5B_-_69458601.23-P1P2	1123	3	801	0
CYB5B_-_69458620.23-P1P2	1	0	152	662
CYB5R1_+_202936351.23-P1P2	3334	1908	2769	1566
CYB5R1_+_202936354.23-P1P2	1279	1	670	1856
CYB5R1_-_202935961.23-P1P2	2	1	1514	0
CYB5R1_-_202936137.23-P1P2	0	0	890	0
CYB5R1_-_202936337.23-P1P2	5601	2	733	3
CYC1_+_145150397.23-P1P2	1	0	459	0
CYC1_-_145149982.23-P1P2	0	0	0	0
CYC1_-_145150131.23-P1P2	1478	0	575	1
CYC1_-_145150142.23-P1P2	4	5847	328	3
CYC1_-_145150183.23-P1P2	967	2631	1520	2
CYGB_+_74533350.23-P1P2	2126	4	2411	2723
CYGB_+_74533414.23-P1P2	2	2	1047	1533
CYGB_+_74533557.23-P1P2	1705	0	2373	3
CYGB_-_74533364.23-P1P2	4516	5718	4070	589
CYGB_-_74533754.23-P1P2	2155	1	1421	1956
CYP2C18_+_96443542.23-P1P2	0	0	0	0
CYP2C18_+_96443673.23-P1P2	0	0	122	0
CYP2C18_+_96443678.23-P1P2	2	0	503	2590
CYP2C18_-_96443514.23-P1P2	0	0	473	2532
CYP2C18_-_96443670.23-P1P2	5	1	566	3520
CYP2C8_+_96829014.23-P1P2	3	3138	778	780
CYP2C8_+_96829078.23-P1P2	2	5970	1660	3
CYP2C8_-_96828869.23-P1P2	3	2	103	1786
CYP2C8_-_96828981.23-P1P2	1517	0	427	1
CYP2C8_-_96829141.23-P1P2	0	0	230	0
CYP2C9_+_96698676.23-P1P2	0	0	96	0
CYP2C9_+_96698778.23-P1P2	1	0	622	0
CYP2C9_-_96698454.23-P1P2	1399	2	531	2
CYP2C9_-_96698706.23-P1P2	3	0	1616	0
CYP2C9_-_96698919.23-P1P2	1	0	462	957
CYP2D6_+_42526470.23-P1P2	0	0	206	0
CYP2D6_+_42526787.23-P1P2	5	1	1068	1823
CYP2D6_+_42526794.23-P1P2	4018	3228	2461	2093
CYP2D6_-_42526481.23-P1P2	0	0	343	0
CYP2D6_-_42526814.23-P1P2	3849	5802	1647	3
CYP3A5_+_99277143.23-P1P2	7	5336	809	2029
CYP3A5_+_99277149.23-P1P2	1	0	488	0
CYP3A5_+_99277556.23-P1P2	3183	1429	1869	20
CYP3A5_+_99277628.23-P1P2	4	2	993	1835
CYP3A5_-_99277257.23-P1P2	602	0	627	0
CYP4A11_+_47406643.23-P1P2	4	5647	1634	1655
CYP4A11_+_47406647.23-P1P2	1	2769	501	3
CYP4A11_+_47406982.23-P1P2	0	0	538	0
CYP4A11_+_47407055.23-P1P2	195	1	1388	1040
CYP4A11_+_47407154.23-P1P2	1166	0	1335	0
CYSLTR1_+_77582557.23-P1P2	1	0	946	1
CYSLTR1_+_77582570.23-P1P2	1	0	1059	0
CYSLTR1_+_77583083.23-P1P2	0	0	109	0
CYSLTR1_-_77582695.23-P1P2	0	0	487	0
CYSLTR1_-_77583040.23-P1P2	0	0	194	0
CYSLTR2_+_49281226.23-ENST00000282018.3	2480	5835	349	550
CYSLTR2_+_49281378.23-ENST00000282018.3	1230	2	2330	2948
CYSLTR2_+_49281416.23-ENST00000282018.3	0	0	91	0
CYSLTR2_+_49281423.23-ENST00000282018.3	0	0	0	0
CYSLTR2_-_49281431.23-ENST00000282018.3	704	0	1245	0
CYTH2_+_48972662.23-P1P2	3946	12	2197	2083
CYTH2_-_48972593.23-P1P2	2	6106	725	2
CYTH2_-_48972650.23-P1P2	0	0	1554	1
CYTH2_-_48972707.23-P1P2	1503	0	913	333
CYTH2_-_48973064.23-P1P2	483	2	1923	1319
CYTH3_+_6311871.23-P1P2	6426	4666	1896	1528
CYTH3_+_6311923.23-P1P2	0	1	1431	0
CYTH3_+_6311994.23-P1P2	0	0	0	0
CYTH3_-_6312213.23-P1P2	4	5827	1928	1287
CYTH3_-_6312231.23-P1P2	1256	5142	1955	1798
DAO_+_109273872.23-P1P2	1821	1	2571	3717
DAO_+_109273913.23-P1P2	1	1	284	1717
DAO_+_109273929.23-P1P2	1136	4	898	1818
DAO_-_109273923.23-P1P2	0	0	0	0
DAO_-_109274296.23-P1P2	2459	0	1719	0
DAPK1_+_90112820.23-P1P2	1664	0	606	0
DAPK1_+_90112838.23-P1P2	10	8395	2825	5555
DAPK1_-_90112796.23-P1P2	1397	2	1588	1869
DAPK1_-_90112825.23-P1P2	771	6186	3426	2379
DAPK1_-_90112867.23-P1P2	4741	6729	4176	2
DAPK2_+_64338238.23-P1P2	1342	2	1346	1912
DAPK2_+_64338395.23-P1P2	2849	2727	1273	2
DAPK2_-_64338287.23-P1P2	5020	4	1919	2117
DAPK2_-_64338497.23-P1P2	3039	3488	2203	2
DAPK2_-_64338687.23-P1P2	2056	3	1233	2129
DAPK3_+_3970693.23-P1P2	1164	1	919	0
DAPK3_+_3971008.23-P1P2	2	2	884	23
DAPK3_+_3971028.23-P1P2	1216	2176	847	6258
DAPK3_-_3971041.23-P1P2	0	0	2060	1
DAPK3_-_3971045.23-P1P2	1	1	2395	1291
DAPP1_+_100738030.23-P1P2	4	2	851	2082
DAPP1_+_100738052.23-P1P2	783	4	1558	1657
DAPP1_-_100737993.23-P1P2	962	5	955	2782
DAPP1_-_100738017.23-P1P2	1637	1	870	0
DAPP1_-_100738024.23-P1P2	16	12168	1613	7
DARS2_+_173793647.23-P1P2	0	1	296	0
DARS2_+_173793665.23-P1P2	0	0	258	0
DARS2_+_173793774.23-P1P2	1697	0	161	0
DARS2_-_173793815.23-P1P2	1	0	563	0
DARS2_-_173793832.23-P1P2	1	2	466	797
DARS_+_136743129.23-P1P2	1458	1	1452	1
DARS_-_136743091.23-P1P2	3970	2	2622	0
DARS_-_136743104.23-P1P2	0	0	0	0
DARS_-_136743145.23-P1P2	2974	9645	862	3
DARS_-_136743164.23-P1P2	0	0	122	0
DBF4_+_87505817.23-P1P2	3783	1	2058	1
DBF4_+_87505826.23-P1P2	671	0	426	0
DBF4_+_87506208.23-P1P2	804	0	1672	2
DBF4_+_87506231.23-P1P2	0	1	762	2
DBF4_-_87505724.23-P1P2	7	2	994	3727
DBH_+_136501496.23-P1P2	1245	0	1262	1
DBH_+_136501500.23-P1P2	992	6674	1818	4985
DBH_+_136501863.23-P1P2	0	2	487	964
DBH_+_136501907.23-P1P2	1484	2	129	1847
DBH_-_136501544.23-P1P2	2921	1	1289	3
DBI_+_120124588.23-P1	1587	1	334	0
DBI_+_120124600.23-P1	1133	2278	997	5927
DBI_-_120124984.23-P1	0	0	414	0
DBI_-_120124997.23-P1	3072	2999	2267	1408
DBI_-_120125000.23-P1	2615	1	1983	1167
DBI_-_120125823.23-P2	6	6114	1519	3
DBI_-_120125842.23-P2	1586	0	2088	2893
DBI_-_120125881.23-P2	3	3034	139	1057
DBI_-_120126220.23-P2	2	4659	1148	0
DBI_-_120126235.23-P2	986	0	344	255
DCD_-_55041665.23-P1P2	1	2	607	1897
DCD_-_55041682.23-P1P2	1164	0	1883	2
DCD_-_55041698.23-P1P2	1	2	551	1903
DCD_-_55041900.23-P1P2	2380	4	465	1255
DCD_-_55042144.23-P1P2	0	0	128	0
DCK_+_71859153.23-P1P2	1715	2	1191	0
DCK_+_71859234.23-P1P2	0	1	480	1
DCK_+_71859804.23-P1P2	1690	2	1905	5366
DCK_-_71859323.23-P1P2	5987	3	2393	5443
DCK_-_71859688.23-P1P2	2326	1667	2553	3
DCLK1_+_36705061.23-ENST00000255448.4	3	4580	1087	3
DCLK1_+_36705267.23-ENST00000255448.4	2	0	1644	0
DCLK1_+_36705270.23-ENST00000255448.4	3441	4	2005	0
DCLK1_+_36705492.23-ENST00000255448.4	618	2	361	0
DCLK1_-_36705511.23-ENST00000255448.4	0	0	742	1
DCLK2_+_151000068.23-P1P2	62	4	1935	5853
DCLK2_-_150999587.23-P1P2	3043	0	2170	3156
DCLK2_-_150999592.23-P1P2	7	1	1012	2564
DCLK2_-_150999622.23-P1P2	978	1962	2003	3
DCLK2_-_150999968.23-P1P2	1529	2	608	1
DCLK3_+_36781225.23-P1P2	2819	0	424	1681
DCLK3_-_36781235.23-P1P2	5362	2	867	2037
DCLK3_-_36781240.23-P1P2	1	1	1439	931
DCLK3_-_36781293.23-P1P2	4	0	813	0
DCLK3_-_36781316.23-P1P2	1260	0	894	1
DCPS_-_126173845.23-P1P2	3	3734	182	0
DCPS_-_126173865.23-P1P2	0	0	613	0
DCPS_-_126174007.23-P1P2	0	0	159	0
DCPS_-_126174029.23-P1P2	4	1	1028	1506
DCPS_-_126174186.23-P1P2	1	1	1	972
DCTD_+_183838462.23-P1P2	420	0	1746	1386
DCTD_+_183838478.23-P1P2	2	1623	1451	3513
DCTD_+_183838508.23-P1P2	2691	0	592	0
DCTD_-_183838133.23-P1P2	490	3	1433	1801
DCTD_-_183838536.23-P1P2	2517	1	668	2
DCXR_+_79995174.23-P1P2	1322	5995	1766	2
DCXR_+_79995501.23-P1P2	1458	1	2315	4
DCXR_+_79995505.23-P1P2	0	0	701	0
DCXR_-_79995537.23-P1P2	2	3	701	1806
DCXR_-_79995562.23-P1P2	3	2	2079	1
DDAH1_+_85930405.23-P1P2	2817	1	856	0
DDAH1_+_85930831.23-P1P2	4	4213	1632	4
DDAH1_-_85930365.23-P1P2	4880	2894	1699	4
DDAH1_-_85930417.23-P1P2	1571	4051	1833	0
DDAH1_-_85930827.23-P1P2	2965	275	1351	1388
DDAH2_+_31697839.23-P1P2	5693	5004	2808	5224
DDAH2_-_31696730.23-P1P2	1529	3609	2434	7183
DDAH2_-_31697596.23-P1P2	4626	1	112	2
DDAH2_-_31697971.23-P1P2	0	0	898	0
DDAH2_-_31697994.23-P1P2	0	0	730	0
DDC_+_50632705.23-P1P2	873	5	945	3139
DDC_+_50633113.23-P1P2	815	1	809	2
DDC_+_50633123.23-P1P2	2692	3	1007	1601
DDC_-_50632675.23-P1P2	1176	4480	1141	1122
DDC_-_50633079.23-P1P2	3	4	1462	1680
DDR1_+_30850728.23-P2	854	6	380	2069
DDR1_+_30850899.23-P2	1628	4	1207	3747
DDR1_+_30851171.23-P2	5049	3	542	3
DDR1_+_30852305.23-P1	3926	3	935	1443
DDR1_+_30852315.23-P1	4317	1	1015	6
DDR1_+_30852745.23-P1	6129	6	1895	4
DDR1_-_30850727.23-P2	994	2489	2278	3609
DDR1_-_30850759.23-P2	0	0	402	0
DDR1_-_30852454.23-P1	4	2766	1657	937
DDR1_-_30852492.23-P1	1879	0	528	3
DDR2_+_162602272.23-P1P2	721	0	705	0
DDR2_+_162602286.23-P1P2	11	9416	1255	3376
DDR2_+_162602290.23-P1P2	2409	4408	1869	6
DDR2_+_162602592.23-P1P2	1	0	433	0
DDR2_-_162602245.23-P1P2	0	0	0	0
DDX39B_-_31509349.23-P1P2	0	0	149	0
DDX39B_-_31509735.23-P1P2	0	0	0	0
DDX39B_-_31509748.23-P1P2	0	0	0	0
DDX39B_-_31509751.23-P1P2	0	0	0	0
DDX39B_-_31509769.23-P1P2	0	0	0	0
DECR1_+_91013765.23-P1P2	4	5437	1198	1086
DECR1_-_91014077.23-P1P2	4613	6143	1711	2638
DECR1_-_91014106.23-P1P2	2800	2	1000	1
DECR1_-_91014120.23-P1P2	0	0	682	0
DECR1_-_91014135.23-P1P2	3	0	1114	1942
DGKA_+_56324982.23-P1P2	7	2	1388	3800
DGKA_+_56325081.23-P1P2	0	0	0	0
DGKA_+_56325365.23-P1P2	1543	0	2168	4
DGKA_-_56325140.23-P1P2	1429	5	1096	3250
DGKA_-_56326234.23-P1P2	3	2209	2264	0
DGKB_+_14942616.23-P1P2	499	2	884	2192
DGKB_+_14942911.23-P1P2	1481	2777	1564	1
DGKB_+_14942915.23-P1P2	2062	5402	1400	2
DGKB_-_14942495.23-P1P2	503	3	1196	2495
DGKB_-_14942561.23-P1P2	2834	1	1101	3
DGKD_+_234263221.23-P1P2	1703	2302	1054	2873
DGKD_+_234263224.23-P1P2	5808	5	2306	3426
DGKD_-_234263173.23-P1P2	983	5	846	1552
DGKD_-_234263257.23-P1P2	1663	5031	1502	1
DGKD_-_234263522.23-P1P2	1021	7876	1854	2931
DGKE_+_54911526.23-P1P2	1176	1	1401	1
DGKE_+_54911823.23-P1P2	2412	1	1216	2697
DGKE_+_54911838.23-P1P2	144	3101	631	0
DGKE_+_54911843.23-P1P2	3439	12095	1865	1193
DGKE_-_54911871.23-P1P2	4	2	1917	3026
DGKG_+_186079543.23-P1P2	2008	3	1160	1829
DGKG_+_186079624.23-P1P2	3011	1669	2294	7
DGKG_+_186079946.23-P1P2	1588	3	758	1531
DGKG_+_186079982.23-P1P2	3	1	515	2418
DGKG_-_186080016.23-P1P2	4	1	1171	3774
DGKH_+_42614250.23-P2	1064	5994	1366	5936
DGKH_+_42614259.23-P2	4	5305	355	1
DGKH_+_42614467.23-P2	3	2369	895	1
DGKH_+_42622843.23-P1	1222	1	1616	1909
DGKH_+_42622867.23-P1	6306	6	2813	1574
DGKH_-_42614236.23-P2	1458	2	1643	1017
DGKH_-_42614276.23-P2	3	2	695	1726
DGKH_-_42622785.23-P1	1046	1	2114	0
DGKH_-_42622801.23-P1	0	0	378	0
DGKH_-_42623106.23-P1	2837	2666	1227	3
DGKI_+_137531202.23-P1P2	1467	1	125	0
DGKI_+_137531206.23-P1P2	1290	1953	691	3533
DGKI_+_137531588.23-P1P2	5	0	657	3848
DGKI_-_137531157.23-P1P2	1356	2	685	1535
DGKI_-_137531574.23-P1P2	6403	1740	1892	5
DGKK_+_50213751.23-P1P2	11	4360	842	4292
DGKK_-_50213637.23-P1P2	4175	3	1274	3249
DGKK_-_50213743.23-P1P2	1171	1	1044	1
DGKK_-_50213780.23-P1P2	3023	4	2583	1472
DGKK_-_50213840.23-P1P2	0	0	265	2
DGKQ_+_966926.23-P1	2	0	736	0
DGKQ_+_967291.23-P1	2282	3	2083	3133
DGKQ_+_967322.23-P1	3477	4	1028	4
DGKQ_+_967337.23-P1	4858	2	686	4
DGKQ_+_980664.23-P2	1351	0	1049	1451
DGKQ_+_980716.23-P2	855	5429	2242	2455
DGKQ_-_967335.23-P1	5004	3	2431	1245
DGKQ_-_980377.23-P2	0	0	155	0
DGKQ_-_980401.23-P2	1455	1578	280	5370
DGKQ_-_980679.23-P2	1576	1	1610	3
DGKZ_+_46369421.23-P1P2	0	0	0	0
DGKZ_+_46369445.23-P1P2	4462	3	1107	1744
DGKZ_-_46369028.23-P1P2	5	4	2403	4656
DGKZ_-_46369057.23-P1P2	2092	4558	1911	1952
DGKZ_-_46369488.23-P1P2	5	2	3119	1884
DGUOK_+_74154041.23-P1P2	3167	4	1386	1863
DGUOK_+_74154076.23-P1P2	0	0	359	0
DGUOK_+_74154214.23-P1P2	4	8	2587	1251
DGUOK_-_74153989.23-P1P2	0	1	197	0
DGUOK_-_74154035.23-P1P2	1581	2	2466	0
DHCR7_+_71159363.23-P1P2	2	2328	841	0
DHCR7_+_71159403.23-P1P2	1438	2	531	1
DHCR7_+_71159406.23-P1P2	2341	1	1141	1747
DHCR7_-_71158984.23-P1P2	0	0	152	0
DHCR7_-_71159000.23-P1P2	3	1	1247	0
DHFRL1_+_93781704.23-P1P2	1	2	2169	2
DHFRL1_+_93781711.23-P1P2	1292	1824	1079	2481
DHFRL1_+_93781714.23-P1P2	1639	1	750	3
DHFRL1_+_93781735.23-P1P2	3216	2	381	0
DHFRL1_-_93781340.23-P1P2	1551	5	1117	2560
DHODH_+_72049721.23-P2	6979	1020	2120	3332
DHODH_+_72050082.23-P2	0	0	437	0
DHODH_-_72042655.23-P1	1	0	898	1
DHODH_-_72042659.23-P1	2763	4085	894	1752
DHODH_-_72042709.23-P1	7485	8	1426	2548
DHODH_-_72042714.23-P1	2	1	927	0
DHODH_-_72042728.23-P1	1	4186	581	0
DHODH_-_72049691.23-P2	8	9280	924	6
DHODH_-_72050053.23-P2	6	0	2859	464
DHODH_-_72050090.23-P2	1211	2164	1872	2002
DHPS_+_12792224.23-P1P2	6	2412	740	1995
DHPS_+_12792300.23-P1P2	2245	3	1515	2672
DHPS_+_12792543.23-P1P2	0	0	86	0
DHPS_+_12792611.23-P1P2	2981	7789	1661	1113
DHPS_-_12792690.23-P1P2	1646	4	565	3347
DHRS11_+_34948687.23-P1P2	0	0	0	0
DHRS11_+_34948809.23-P1P2	1263	1	382	0
DHRS11_-_34948321.23-P1P2	0	0	1830	0
DHRS11_-_34948355.23-P1P2	2	1	478	1773
DHRS11_-_34948705.23-P1P2	3728	3	1143	5
DHRS4L1_+_24506017.23-P1P2	746	3494	2218	5
DHRS4L1_+_24506061.23-P1P2	1511	2241	942	3
DHRS4L1_+_24506064.23-P1P2	2	0	1271	2011
DHRS4L1_+_24506110.23-P1P2	1454	4094	1561	5
DHRS4L1_-_24505684.23-P1P2	4	1	2197	1427
DHRS4L2_+_24458116.23-ENST00000382755.4	3	1	718	1308
DHRS4L2_+_24458437.23-ENST00000382755.4	1226	0	746	1593
