	lower	lower	lower	lower	upper	upper	upper	upper
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene								
ALPPL2	0.702315530603703	5.194168973346787	3	3	0.9390695392249732	-2.6385295462202336	3	3
AMHR2	0.858441500533582	3.143815580704631	3	3	0.27324022982090423	0.9157166239214832	3	3
AMN	0.00796616350775978	-2.688300895397361	9	9	0.9481869882668126	-9.910949485356886	9	9
AMT	0.49182543618102414	0.8521945655589945	4	4	0.951763803111252	-7.120435884011766	4	4
AMY2A	0.8448801044091533	4.129279870048075	2	2	0.6782962241406417	-3.030726759200976	2	2
AMY2B			0	0			0	0
ANKK1	1.0	3.3758548071410672	3	3	0.4004413862075996	-4.450121077317011	3	3
ANXA2	0.25941252863396136	8.194519691367729	5	5	0.2850963503156446	-0.6653945766245218	5	5
ANXA3	0.8732917088682917	2.5488078082010692	4	4	0.3879255303064266	-8.480455644692166	4	4
ANXA5	0.6464956225169609	2.228156262544111	3	3	0.7501076487404902	-2.3258674613703008	3	3
APCS	0.19775930335061287	10.304459054394947	1	1	0.9468852104906208	0.1621981587335552	1	1
APOE	0.9937556553556648	4.460256520010175	2	2	0.6000308408951016	-2.9342354396436003	2	2
APOH	0.2839004439630356	5.6431865494725715	8	8	0.8267054640752471	-8.922523498339611	8	8
APRT	0.2595946583172707	9.845381462565934	4	4	0.15435641612727724	-1.3597658047634003	4	4
ARAF	0.1728372332594149	1.8411206101232562	5	5	0.6448564159667856	-6.24397598614794	5	5
ARF1	0.047118296434624646	-1.7970999766889726	4	4	0.9080609554690193	-2.404749537418692	4	4
ARF4			0	0			0	0
ARF6	0.06110106057987569	-1.5782313127500558	3	3	0.4446325926260951	-3.4003974412685043	3	3
ARHGAP26	0.6668746637301395	3.575349921058673	2	2	0.7721453575636094	-3.9688157515108897	2	2
ARL1	0.5677874993418255	4.823298520136056	2	2	0.6109599007285056	-4.281793027420838	2	2
ARL3	0.7791226096073944	5.878551752608018	4	4	0.4446297085088885	-1.5412328732225207	4	4
ARL5B	0.7875725849725521	5.943798465203872	4	4	0.6013704596038613	-5.688425860720989	4	4
ARPC1B	0.9593577538668886	2.9708925530827943	3	3	0.5794516007112549	-5.5176460303178345	3	3
ARPC2	0.5415845392644589	2.574645539694546	4	4	0.478072597481917	-5.870472143060482	4	4
ARPC3	0.2564592225367506	-1.1152661464855953	2	2	0.8694552769254131	-3.4987443765687853	2	2
ARPC4	0.60953072970102	-0.7962844943220233	1	1	0.38646609791430186	1.1801436570753334	1	1
ARPC5	0.6109601772009596	4.629126442889221	2	2	0.9065484956534406	-3.111403232178054	2	2
ARSA	0.8326472970175447	3.8624563200286657	2	2	0.8448799856795206	-3.2459221632610564	2	2
ART1	0.1552588882477168	-2.009215585732754	1	1	0.1367986397816899	-9.916957953443832	1	1
ASGR2	0.10993027414038084	10.47155848259021	5	5	0.5174710930239009	-8.699347311360691	5	5
ASNA1	0.10161443250502815	7.530178002075274	3	3	0.47557709879324583	-1.5269489614604854	3	3
ASPA			0	0			0	0
ASRGL1	0.9255162512977373	5.719085027471098	4	4	0.14202130241940375	-8.920278836778813	4	4
ASS1	0.7695088467075766	3.0856528271060846	3	3	0.5076670817478994	-1.8631908321735091	3	3
ATM	0.745592267185901	-0.1028874136141944	4	4	0.7290014977427113	-4.690859397468322	4	4
ATOX1	0.11662784344153906	1.0005440254028486	5	5	0.8598836055025686	-5.652371727687512	5	5
ATP1A1	0.3669375731244685	2.463678634201006	5	5	0.6876261478104089	-5.557623643524448	5	5
ATP2A1	0.04429010874683532	-2.0377962215047996	2	2	0.22510582505395071	-5.2488433604938844	2	2
ATP2C1	0.8136747097579051	2.8513625956054707	3	3	0.1464047974380131	1.8342472636783886	3	3
ATP4A	0.7094737961021109	9.422028958067571	8	8	0.8507183022413216	-9.381653367877911	8	8
ATP5A1	1.0	5.819557581203725	5	5	0.6032307220351634	-5.258462524356813	5	5
ATP5B			0	0			0	0
ATP5C1	0.19013903760118822	-1.7548361396827001	1	1	0.08728778618596213	-10.662989356048383	1	1
ATP6V1A			0	0			0	0
ATP6V1B2			0	0			0	0
ATP6V1C1	0.22195619005714728	-1.676742312089214	1	1	0.5787877329810506	-7.998654392562211	1	1
ATP8A1	0.7207531974921018	-0.4727364981789428	4	4	0.07041059963736607	-0.8020528137842354	4	4
ATR			0	0			0	0
AURKA			0	0			0	0
AURKAIP1	0.678296459562844	4.399648853912429	2	2	0.3598417193126703	-8.056670645913108	2	2
AURKB			0	0			0	0
AURKC	0.7597894466117869	3.222497105187473	3	3	0.8684570613742264	-2.3867224639546376	3	3
AVPR1A	0.8906500801216473	2.7062615383540645	4	4	0.6880912158982115	-8.477490605106748	4	4
