	Diff	Lower	Upper
	Rep1	Rep1	Rep1
	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-04_S105_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-02_S103_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-01_S102_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts
sgId			
ACY3_-_67417956.23-P1	0	0	0
ACY3_-_67418149.23-P1	1375	2	1474
ACYP2_+_54342830.23-P1P2	476	4	1
ACYP2_-_54342821.23-P1P2	0	0	0
ACYP2_-_54343153.23-P1P2	0	0	0
ACYP2_-_54343157.23-P1P2	3556	3	3089
ACYP2_-_54343180.23-P1P2	2467	4	2021
ADAM33_+_3662271.23-P1P2	2326	2	1
ADAM33_+_3662642.23-P1P2	5239	4	2
ADAM33_-_3662191.23-P1P2	1644	1	1
ADAM33_-_3662194.23-P1P2	0	0	0
ADAM33_-_3662638.23-P1P2	6402	4	4
ADAMTS5_+_28339356.23-P1P2	840	5114	1607
ADAMTS5_+_28339363.23-P1P2	2392	2	2
ADAMTS5_-_28338950.23-P1P2	746	5035	0
ADAMTS5_-_28339372.23-P1P2	3408	7	3316
ADAMTS5_-_28339421.23-P1P2	0	0	0
ADCK1_+_78266506.23-P1P2	2800	5949	3
ADCK1_-_78266512.23-P1P2	672	1	1922
ADCK1_-_78266523.23-P1P2	1664	1	3
ADCK1_-_78266828.23-P1P2	2675	2982	2
ADCK1_-_78266900.23-P1P2	2275	5641	2
ADCK2_+_140372748.23-P1P2	929	0	1
ADCK2_+_140373084.23-P1P2	1364	2	3820
ADCK2_+_140373152.23-P1P2	4378	5268	2108
ADCK2_-_140373160.23-P1P2	3011	1	1
ADCK2_-_140373404.23-P1P2	0	0	0
ADCK3_+_227128242.23-P1P2	0	0	0
ADCK3_+_227128400.23-P1P2	2347	3490	3348
ADCK3_-_227128046.23-P1P2	2888	2800	1476
ADCK3_-_227128055.23-P1P2	2951	4	4627
ADCK3_-_227128078.23-P1P2	0	0	0
ADCK4_+_41222752.23-P1P2	1590	1	0
ADCK4_-_41222351.23-P1P2	1777	1	0
ADCK4_-_41222709.23-P1P2	0	0	0
ADCK4_-_41222769.23-P1P2	0	0	0
ADCK4_-_41222791.23-P1P2	2553	2	5354
ADCK5_+_145597793.23-P1P2	0	0	0
ADCK5_-_145597191.23-P1P2	647	0	0
ADCK5_-_145597250.23-P1P2	802	1	0
ADCK5_-_145597781.23-P1P2	2581	1275	1710
ADCK5_-_145597789.23-P1P2	0	0	0
ADC_+_33546832.23-P1P2	3646	3	3
ADC_+_33546850.23-P1P2	1728	5264	1
ADC_+_33546977.23-P1P2	0	0	0
ADC_-_33546826.23-P1P2	2178	3119	4
ADC_-_33546829.23-P1P2	0	0	0
ADH1B_+_100242040.23-P1P2	0	0	0
ADH1B_+_100242511.23-P1P2	0	0	0
ADH1B_-_100242120.23-P1P2	0	0	0
ADH1B_-_100242280.23-P1P2	0	0	0
ADH1B_-_100242333.23-P1P2	0	0	0
ADH1C_+_100273655.23-P1P2	1906	2354	438
ADH1C_-_100273471.23-P1P2	0	0	0
ADH1C_-_100273518.23-P1P2	0	0	0
ADH1C_-_100273879.23-P1P2	3067	2	2906
ADH1C_-_100273923.23-P1P2	4674	6	2090
ADH4_+_100065429.23-P1P2	0	0	0
ADH4_+_100065433.23-P1P2	1424	1	1
