	lower	upper
	Rep1	Rep1
sgId		
ACAT2_-_160183054.23-P1P2		
ACAT2_-_160183095.23-P1P2	-1.3727039942642492	-9.280446361975327
ACAT2_-_160183174.23-P1P2	-0.8195202022157524	1.0605794775403876
ACCS_+_44087946.23-P1P2	-0.3103252091125608	3.73175913393547
ACCS_+_44088028.23-P1P2	0.6499650810854671	-8.259951657859949
ACCS_+_44088091.23-P1P2	9.324574197997919	0.7387599251742016
ACCS_+_44088215.23-P1P2		
ACCS_-_44088090.23-P1P2	11.071993637196506	-7.388737964508774
ACE2_+_15619016.23-P1P2		
ACE2_+_15619087.23-P1P2	-0.9925849111886329	-8.900327278899713
ACE2_-_15618594.23-P1P2		
ACE2_-_15618975.23-P1P2		
ACE2_-_15619013.23-P1P2	-2.607892020905785	-9.515634388616864
ACE_+_61554448.23-P1	-0.6588475140116365	0.14421655197663558
ACE_+_61554829.23-P1	7.727182323786261	-0.8430392734760747
ACE_+_61562272.23-P2	-1.5317587104795827	0.9246335768173901
ACE_+_61562293.23-P2		
ACE_-_61554428.23-P1	0.07154542623108284	1.3230437089316767
ACE_-_61554458.23-P1	-1.1202979317457586	1.036702465293419
ACE_-_61554461.23-P1	9.64837745714941	1.8831021572868263
ACE_-_61562238.23-P2	-2.592799495770043	-11.500771720096106
ACE_-_61562443.23-P2	-2.0987033761419767	-10.006445743853057
ACE_-_61562661.23-P2		
ACHE_+_100493456.23-P1	10.816512004683098	3.4448637301970235
ACHE_+_100493473.23-P1	-0.9573094364411023	-8.865051804152182
ACHE_+_100494559.23-P2	9.477834047794543	-8.023610670201851
ACHE_+_100494570.23-P2	8.609281561266057	-4.252657116831897
ACHE_-_100493122.23-P1		
ACHE_-_100493427.23-P1		
ACHE_-_100493486.23-P1	-0.025202555223748035	-0.36816030415129986
ACHE_-_100494233.23-P2	-1.5269545267498046	-9.434696894460885
ACHE_-_100494236.23-P2	0.5647653583246637	2.253833928701236
ACHE_-_100494578.23-P2	0.5413189890898398	2.190903555185716
ACOT13_+_24667341.23-P1P2	9.632452556267555	-8.780108799076364
ACOT13_-_24667329.23-P1P2	10.079228125863969	0.8828907715757751
ACOT13_-_24667371.23-P1P2	-1.3876212103059409	-9.294303162650726
ACOT13_-_24667386.23-P1P2		
ACOT13_-_24667473.23-P1P2	8.970249109850469	1.2538920270115526
ACOX1_+_73975227.23-P1P2		
ACOX1_-_73975169.23-P1P2	10.857972938908127	0.9095691707149243
ACOX1_-_73975193.23-P1P2	-1.6689133779732206	-8.991693244963143
ACOX1_-_73975196.23-P1P2	-1.2763778771892245	-7.599157744179146
ACOX1_-_73975245.23-P1P2	9.297409390765766	-8.68581212643333
ACP1_+_264980.23-P1P2	-1.252906390692777	-0.49649780641128327
ACP1_+_265303.23-P1P2		
ACP1_-_264967.23-P1P2	11.250673408598308	3.0086199862404754
ACP1_-_264970.23-P1P2		
ACP1_-_265107.23-P1P2	8.623423293632975	-8.94965499126328
ACP2_+_47270320.23-P1P2		
ACP2_+_47270332.23-P1P2		
ACP2_-_47269915.23-P1P2	-2.5124452354227493	0.4031796369124078
ACP2_-_47269958.23-P1P2	-1.286646212643051	-9.194388580354131
ACP2_-_47270385.23-P1P2		
ACP5_+_11688472.23-P1	-1.7110325784804878	-0.044280360705664545
ACP5_-_11688086.23-P1	-0.3136764186122001	1.0324286986641251
ACP5_-_11688414.23-P1	9.747811158713006	1.0561344085201443
ACP5_-_11688437.23-P1	10.93080100270571	3.095138184142731
ACP5_-_11688455.23-P1	11.298480552631288	-7.239528940106561
ACP5_-_11689356.23-P2		
ACP5_-_11689724.23-P2	-0.049972393346152444	1.8568677048490447
ACP5_-_11689727.23-P2	0.16952058579438045	1.2241922808602466
ACP5_-_11689744.23-P2		
ACP5_-_11689771.23-P2	-2.331419240747186	0.23251360593377957
ACP6_+_147141956.23-P1P2	9.445625801612586	-0.6922671485706281
ACP6_+_147142159.23-P1P2		
ACP6_-_147142348.23-P1P2	8.652306926783101	-9.714634961599083
ACP6_-_147142356.23-P1P2	10.003026766379378	1.2704112252236373
ACP6_-_147142393.23-P1P2	10.210995381265544	1.038162440155633
ACPP_+_132036268.23-P1P2		
ACPP_+_132036293.23-P1P2	-1.2694914916039846	-9.177233859315063
ACPP_+_132036338.23-P1P2		
ACPP_+_132036504.23-P1P2	-1.5955553610605513	0.776069766413261
ACPP_+_132036703.23-P1P2	-1.5705609815936814	-9.478303349304761
ACPT_+_51293697.23-ENST00000270593.1	10.10976867323517	0.45335995751379915
ACPT_+_51293761.23-ENST00000270593.1		
ACPT_+_51294074.23-ENST00000270593.1		
ACPT_-_51293910.23-ENST00000270593.1		
ACPT_-_51294122.23-ENST00000270593.1		
ACSL1_+_185746700.23-P1P2	-1.6037915111603152	-9.512446110985817
ACSL1_+_185747071.23-P1P2	0.43880720094051284	-9.469874727234181
ACSL1_+_185747074.23-P1P2	-2.119915135553475	-8.442695002543397
ACSL1_+_185747085.23-P1P2		
ACSL1_-_185746686.23-P1P2	1.8247944329987975	3.5151045654493185
ACSL3_+_223725692.23-P1P2		
ACSL3_+_223726215.23-P1P2	-1.3147917607944528	-9.222534128505533
ACSL3_-_223725802.23-P1P2	-0.6442814008769737	-8.550248143698202
ACSL3_-_223725834.23-P1P2	-0.6137944793455947	-7.936574346335516
ACSL3_-_223726162.23-P1P2	7.7273503504204575	-0.13840586513721165
ACSL4_+_108976382.23-P1P2	10.32059709169778	-7.44460796862375
ACSL4_-_108976096.23-P1P2		
ACSL4_-_108976106.23-P1P2		
ACSL4_-_108976456.23-P1P2	-1.2310173437893486	2.12098837492666
ACSL4_-_108976463.23-P1P2	8.081782534857474	-1.794110966814265
ACSS2_+_33464457.23-P1P2	-0.44069423207312575	2.352436555356059
ACSS2_-_33464420.23-P1P2	-1.7236841799404097	-1.4195382531054839
ACSS2_-_33464423.23-P1P2		
ACSS2_-_33464453.23-P1P2		
ACSS2_-_33464808.23-P1P2		
ACTA1_+_229568301.23-P2	-0.8506139713173209	0.7565549258329536
ACTA1_+_229569744.23-P1		
ACTA1_-_229568328.23-P2		
ACTA1_-_229568723.23-P2	9.754744473496	-9.479236830437872
ACTA1_-_229568745.23-P2	10.346252482765747	3.290815060995822
ACTA1_-_229568779.23-P2	-2.3780492950841303	-9.285791662795209
ACTA1_-_229569627.23-P1	-0.9799848744089985	-8.887727242120079
ACTA1_-_229569754.23-P1		
ACTA1_-_229569824.23-P1		
