index,epsilon,pvalue,gene,product
NTC_963,-0.93404,0.6502174411635121,NTC,-0.1746107315706569
NTC_1180,-0.7248733333333335,0.5694332663215453,NTC,-0.17727296734156636
MTMR4,-0.2373400000000001,0.17825490137566768,MTMR4,-0.17775781507951005
PVALB,-0.5587733333333333,0.4782608695652172,PVALB,-0.17899474002952528
NTC_1783,-0.33840666666666674,0.2950623685283952,NTC,-0.17938469577629096
NTC_1789,-0.41480666666666677,0.36882550643268,NTC,-0.17968555887305163
NTC_1937,-0.5533399999999999,0.47319425686009076,NTC,-0.17981366245184316
SLC1A3,-0.31742333333333317,0.26928471248246844,SLC1A3,-0.18086410184483553
AKT1,-0.28947333333333347,0.23655913978494622,AKT1,-0.18122775256786278
NTC_768,-0.7169733333333337,0.558295047749257,NTC,-0.18149192263824016
NTC_802,-0.6935066666666669,0.5472638215462551,NTC,-0.1815623069960173
NTC_1898,-0.20350666666666672,0.1271905185989361,NTC,-0.18224943110002756
NTC_1008,-0.23574000000000028,0.16855248337352358,NTC,-0.1822894544197816
NTC_1099,-0.6171066666666669,0.5042465118903798,NTC,-0.18350104713893547
MTHFD2,-0.2239399999999998,0.15138312792814299,MTHFD2,-0.1836134503537917
NTC_1347,-0.7522733333333336,0.5694332663215453,NTC,-0.18397383366095862
NTC_946,-0.4353399999999996,0.37767618511607093,NTC,-0.18409675304715645
NTC_1145,-0.5682066666666663,0.47319425686009076,NTC,-0.1846447424059112
NTC_1151,-0.8474066666666666,0.6034692986494639,NTC,-0.18587426245191696
NTC_897,-0.4010066666666665,0.34305618987799824,NTC,-0.1863216283633778
NTC_1538,-1.322906666666667,0.7229466854496152,NTC,-0.18638925349145535
ADCK4,-0.4574733333333332,0.3913043478260868,ADCK4,-0.1864136706341822
NTC_1700,-0.5299733333333339,0.4432243006646116,NTC,-0.1872800880038538
NTC_1325,-0.5026066666666664,0.4238621547619892,NTC,-0.18735938030414526
NTC_718,-0.59674,0.48342657054454485,NTC,-0.1883726073879088
NTC_179,-0.47997333333333314,0.40500395561541536,NTC,-0.18840908508202892
NTC_1532,-0.6745733333333335,0.5255300376364578,NTC,-0.18847744610294367
NTC_1426,-0.9306733333333335,0.6266559047543299,NTC,-0.18889957035807176
LMTK2,-0.3446233333333333,0.2805049088359046,LMTK2,-0.19025259687027601
ROS1,-0.33587333333333325,0.26928471248246844,ROS1,-0.191376696001022
MVK,-0.5977733333333335,0.4782608695652172,MVK,-0.19148781091304068
NTC_1708,-1.2327400000000002,0.6983843829909577,NTC,-0.19219092230752366
NTC_936,-0.6892733333333334,0.5255300376364578,NTC,-0.1925846622065251
NRGN,-0.4738733333333336,0.3913043478260868,NRGN,-0.193096429990066
NTC_1584,-0.38873999999999986,0.3184673930827593,NTC,-0.19317852245679298
NTC_1290,-0.45684000000000013,0.37767618511607093,NTC,-0.19318868163289163
NTC_553,-0.7148733333333337,0.5363415300892711,NTC,-0.19341510920703617
NTC_145,-0.40780666666666665,0.33472847233967196,NTC,-0.19383350382175732
NTC_1631,-0.4730066666666666,0.38665655063937165,NTC,-0.1951978500730101
NTC_284,-0.5719400000000001,0.45309186047222316,NTC,-0.19664083022379603
MTM1,-0.5785733333333334,0.4565217391304346,MTM1,-0.19702651645026126
NTC_866,-0.60974,0.47319425686009076,NTC,-0.19814143662736625
NTC_1959,-0.3247066666666667,0.24502962432206343,NTC,-0.19832479434970954
SCYL3,-0.48997333333333337,0.3913043478260868,SCYL3,-0.19965694374797602
EPS8L1,-0.3004233333333337,0.21598877980364653,EPS8L1,-0.19995240016710422
NTC_1133,-0.5662733333333332,0.4432243006646116,NTC,-0.20010765265089217
NTC_1080,-0.5375399999999995,0.4238621547619892,NTC,-0.20038166615781097
